name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
baseline,32,239.69424566937104,239.69424566937104,,2,192.11676597595215,0.0,01011100111000100101111110001000,-+-+++--+++---+--+-++++++---+---,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-12.054842559924964,239.8670978858748,0.2,2,8.666022062301636,0.0,00111100110011111001001010100100,--++++--++--+++++--+--+-+-+--+--,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.02148945082902,239.8670978858748,0.3,2,0.8622109889984131,0.0,11000011001100000110110101011011,++----++--++-----++-++-+-+-++-++,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.101768453825995,239.8670978858748,0.4,2,1.7085151672363281,0.0,00111100110011111001001010100100,--++++--++--+++++--+--+-+-+--+--,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,215.2195711898321,215.21957118983227,,2,130.2340269088745,0.0,01110010011111110001011000001100,-+++--+--+++++++---+-++-----++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-17.413314969372014,215.79754013707213,0.2,2,0.9465188980102539,0.0,01110110011111100001011000001100,-+++-++--++++++----+-++-----++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-18.272827337842006,215.79754013707213,0.3,2,0.533750057220459,0.0,01110110011111100001011000001100,-+++-++--++++++----+-++-----++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.523709502706012,215.79754013707213,0.4,2,1.2257559299468994,0.0,10001001100000011110100111110011,+---+--++------++++-+--+++++--++,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,220.57648461792115,220.5764846179211,,2,248.5280020236969,0.0,00101011011010101101011001000101,--+-+-++-++-+-+-++-+-++--+---+-+,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.001859356392025,221.56764830466108,0.2,2,2.226659059524536,0.0,10010110001000101101011001111001,+--+-++---+---+-++-+-++--++++--+,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.313143705614003,220.81580585704296,0.3,2,0.9704570770263672,0.0,10000011001010101100111001111001,+-----++--+-+-+-++--+++--++++--+,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.575488928560027,220.81580585704296,0.4,2,1.473512887954712,0.0,01111100110101010011000110000110,-+++++--++-+-+-+--++---++----++-,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,219.25095850815893,219.25095850815893,,2,196.79875493049622,0.0,11111010010001100001011000111010,+++++-+--+---++----+-++---+++-+-,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.983765709240021,219.25095850815893,0.2,2,1.3649959564208984,0.0,00000101101110011110100111000101,-----+-++-+++--++++-+--+++---+-+,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-17.44447584511201,219.25095850815893,0.3,2,0.6442971229553223,0.0,00000101101110011110100111000101,-----+-++-+++--++++-+--+++---+-+,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.249880531218992,219.25095850815893,0.4,2,0.9942409992218018,0.0,00000101101110011110100111000101,-----+-++-+++--++++-+--+++---+-+,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,241.73345299268695,241.73345299268692,,2,300.7630500793457,0.0,11010111110001100010100101001010,++-+-+++++---++---+-+--+-+--+-+-,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-13.28301207540698,242.35868903788094,0.2,2,6.42991304397583,0.0,11000111110001101010100101001010,++---+++++---++-+-+-+--+-+--+-+-,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.519724049768996,241.81606488169723,0.3,2,0.7624790668487549,0.0,11000111110101100010100101001010,++---+++++-+-++---+-+--+-+--+-+-,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.871645943206973,241.81606488169723,0.4,2,1.2525458335876465,0.0,00111000001010011101011010110101,--+++-----+-+--+++-+-++-+-++-+-+,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,211.7002990637291,211.7002990637288,,2,171.44113492965698,0.0,01011111100111010000100011000110,-+-++++++--+++-+----+---++---++-,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-17.397345672461007,212.39100144674885,0.2,2,0.8558211326599121,0.0,01011111100110110000100011000110,-+-++++++--++-++----+---++---++-,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-18.383646547380998,212.39100144674885,0.3,2,0.5387778282165527,0.0,10100000011001001111011100111001,+-+------++--+--++++-+++--+++--+,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.705648846611995,212.39100144674885,0.4,2,1.0032079219818115,0.0,10100000011001001111011100111001,+-+------++--+--++++-+++--+++--+,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,231.21886678812805,231.2188667881284,,2,230.12155604362488,0.0,11010110110000011101101001110000,++-+-++-++-----+++-++-+--+++----,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.37509348603799,231.2188667881284,0.2,2,2.8136210441589355,0.0,00101001001111100010010110001111,--+-+--+--+++++---+--+-++---++++,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.71100204241099,231.2188667881284,0.3,2,0.9240200519561768,0.0,11010110110000011101101001110000,++-+-++-++-----+++-++-+--+++----,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.78763188546701,231.2188667881284,0.4,2,1.212609052658081,0.0,11010110110000011101101001110000,++-+-++-++-----+++-++-+--+++----,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,224.82307815668543,224.82307815668526,,2,180.2972629070282,0.0,01000101001011001001001101110111,-+---+-+--+-++--+--+--++-+++-+++,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-17.239854415369955,226.73319925922095,0.2,2,1.7566728591918945,0.0,10111000110100110110010011101000,+-+++---++-+--++-++--+--+++-+---,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-19.27503404144901,226.38497989956102,0.3,2,0.5887031555175781,0.0,10111000110100110110110011001000,+-+++---++-+--++-++-++--++--+---,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-10.419148979666993,224.82307815668526,0.4,2,0.8166289329528809,0.0,01000101001011001001001101110111,-+---+-+--+-++--+--+--++-+++-+++,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,220.99348814032524,220.9934881403253,,2,277.2739498615265,0.0,10011101110000011001110000011110,+--+++-+++-----++--+++-----++++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.555860606058985,220.9934881403253,0.2,2,2.4085419178009033,0.0,10011101110000011001110000011110,+--+++-+++-----++--+++-----++++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.783835649588006,220.9934881403253,0.3,2,0.7538659572601318,0.0,01100010001111100110001111100001,-++---+---+++++--++---+++++----+,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.370437928536994,220.9934881403253,0.4,2,1.5921640396118164,0.0,10011101110000011001110000011110,+--+++-+++-----++--+++-----++++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,226.2383316673757,226.23833166737592,,2,195.62907314300537,0.0,11100100100001111110001111100000,+++--+--+----++++++---+++++-----,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-13.422778735202048,226.23833166737592,0.2,2,3.561582088470459,0.0,11100100100001111110001111100000,+++--+--+----++++++---+++++-----,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.142420635204001,226.23833166737592,0.3,2,1.0156309604644775,0.0,00011011011110000001110000011111,---++-++-++++------+++-----+++++,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.353315616786,226.23833166737592,0.4,2,1.8967390060424805,0.0,11100100100001111110001111100000,+++--+--+----++++++---+++++-----,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,224.05006510244516,224.0500651024449,,2,242.0976541042328,0.0,10000001100111111010100011011001,+------++--++++++-+-+---++-++--+,0,10,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.730915630261972,224.38703768242303,0.2,2,2.5641531944274902,0.0,00111111011000010100010100100111,--++++++-++----+-+---+-+--+--+++,0,10,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.025298299639996,224.0500651024449,0.3,2,0.8857011795043945,0.0,10000001100111111010100011011001,+------++--++++++-+-+---++-++--+,0,10,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.794350126377006,224.0500651024449,0.4,2,1.6864430904388428,0.0,10000001100111111010100011011001,+------++--++++++-+-+---++-++--+,0,10,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,212.05453963505803,212.05453963505803,,2,224.33563709259033,0.0,01001101000001111100010101101110,-+--++-+-----+++++---+-+-++-+++-,0,11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.786729646597022,212.05453963505803,0.2,2,1.348351001739502,0.0,01001101000001111100010101101110,-+--++-+-----+++++---+-+-++-+++-,0,11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.032386142011003,212.05453963505803,0.3,2,0.8324391841888428,0.0,10110010111110000011101010010001,+-++--+-+++++-----+++-+-+--+---+,0,11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.51527023376801,212.05453963505803,0.4,2,1.3800621032714844,0.0,01001101000001111100010101101110,-+--++-+-----+++++---+-+-++-+++-,0,11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,223.31585055531195,223.3158505553118,,2,318.3787031173706,0.0,00010101000111100100001111110110,---+-+-+---++++--+----++++++-++-,0,12,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.608983531597993,223.3158505553118,0.2,2,1.8565590381622314,0.0,11101010111000011011110000001001,+++-+-+-+++----++-++++------+--+,0,12,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.168343591976008,223.3158505553118,0.3,2,0.9855058193206787,0.0,00010101000111100100001111110110,---+-+-+---++++--+----++++++-++-,0,12,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.278937766146,223.3158505553118,0.4,2,1.9205231666564941,0.0,11101010111000011011110000001001,+++-+-+-+++----++-++++------+--+,0,12,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,222.111801945396,222.11180194539585,,2,229.96784687042236,0.0,11111011001000010000110111001100,+++++-++--+----+----++-+++--++--,0,13,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-13.953342177038998,223.43260016116992,0.2,2,2.8739938735961914,0.0,01111011001101101011010001100000,-++++-++--++-++-+-++-+---++-----,0,13,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.032450258956993,223.43260016116992,0.3,2,1.0479388236999512,0.0,10000100110010010100101110011111,+----+--++--+--+-+--+-+++--+++++,0,13,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.170352921738989,222.11180194539585,0.4,2,2.284364938735962,0.0,11111011001000010000110111001100,+++++-++--+----+----++-+++--++--,0,13,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,219.23387587756704,219.23387587756724,,2,243.8176028728485,0.0,10010011100100100110011110011001,+--+--+++--+--+--++--++++--++--+,0,14,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.952476129536002,219.23387587756724,0.2,2,1.8087818622589111,0.0,10010011100100100110011110011001,+--+--+++--+--+--++--++++--++--+,0,14,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.498973755977,219.23387587756724,0.3,2,0.6195359230041504,0.0,10010011100100100110011110011001,+--+--+++--+--+--++--++++--++--+,0,14,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.994339398154,219.23387587756724,0.4,2,1.3083570003509521,0.0,01101100011011011001100001100110,-++-++---++-++-++--++----++--++-,0,14,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,230.2741586051479,230.27415860514785,,2,257.4912910461426,0.0,00011111101010111010010011000100,---++++++-+-+-+++-+--+--++---+--,0,15,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.599930306464984,230.27415860514785,0.2,2,2.5961790084838867,0.0,00011111101010111010010011000100,---++++++-+-+-+++-+--+--++---+--,0,15,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-18.351376812690003,230.27415860514785,0.3,2,0.5978879928588867,0.0,11100000010101000101101100111011,+++------+-+-+---+-++-++--+++-++,0,15,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.964608845490988,230.27415860514785,0.4,2,0.7808699607849121,0.0,00011111101010111010010011000100,---++++++-+-+-+++-+--+--++---+--,0,15,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,224.79768513964828,224.79768513964794,,2,213.16115188598633,0.0,11000000111001010100110111010101,++------+++--+-+-+--++-+++-+-+-+,0,16,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-13.959245208409019,224.79768513964794,0.2,2,5.064970970153809,0.0,00111111000110101011001000101010,--++++++---++-+-+-++--+---+-+-+-,0,16,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.918710918518986,224.79768513964794,0.3,2,0.9414160251617432,0.0,11000000111001010100110111010101,++------+++--+-+-+--++-+++-+-+-+,0,16,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.210362018033988,224.79768513964794,0.4,2,1.7845559120178223,0.0,11000000111001010100110111010101,++------+++--+-+-+--++-+++-+-+-+,0,16,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,216.95867349345102,216.95867349345104,,2,265.4215340614319,0.0,00011100001100100110101110011011,---+++----++--+--++-+-+++--++-++,0,17,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
