name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,16,52.153185832214,52.15318583221401,,2,0.07067298889160156,0.00533604621887207,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000153, 73.03745402], [0.005178, 70.50479998], [0.005336, 52.15318583]]",0,quantum,1,
precond_pen=0.000,16,-2.5467808551680022,52.15318583221401,0.0,2,0.045179128646850586,0.0028362274169921875,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000118, 73.03745402], [0.002365, 71.44549715], [0.002554, 68.02212666], [0.002836, 52.15318583]]",0,quantum,1,
precond_pen=0.200,16,-11.105818874889005,52.15318583221401,0.2,2,0.01564621925354004,0.0029001235961914062,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000122, 73.03745402], [0.00251, 72.34723963], [0.002659, 71.17336398], [0.0029, 52.15318583]]",0,quantum,1,
precond_pen=0.400,16,-9.564574079873001,52.15318583221401,0.4,2,0.0110931396484375,0.002888917922973633,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.00011, 73.03745402], [0.002401, 69.65598382], [0.002656, 67.09569799], [0.002889, 52.15318583]]",0,quantum,1,
precond_pen=0.500,16,-5.419243466306,52.15318583221401,0.5,2,0.012691974639892578,0.003059864044189453,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000109, 73.03745402], [0.002577, 63.36250137], [0.002842, 61.75809125], [0.00306, 52.15318583]]",0,quantum,1,
precond_pen=0.600,16,-3.6280941843760015,52.15318583221401,0.6,2,0.012395858764648438,0.003101825714111328,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.00011, 73.03745402], [0.002531, 66.47946779], [0.002763, 65.87958235], [0.002959, 61.67719082], [0.003102, 52.15318583]]",0,quantum,1,
precond_pen=0.700,16,-2.7672588756580003,52.15318583221401,0.7,2,0.016453981399536133,0.0031588077545166016,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000124, 73.03745402], [0.002643, 67.96598373], [0.002835, 67.94388025], [0.003016, 67.07030629], [0.003159, 52.15318583]]",0,quantum,1,
precond_pen=0.800,16,-2.2738615524599988,52.15318583221401,0.8,2,0.018716096878051758,0.002788066864013672,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000113, 73.03745402], [0.002642, 66.48881507], [0.002788, 52.15318583]]",0,quantum,1,
precond_pen=1.000,16,-1.7323139450209988,52.15318583221401,1.0,2,0.02403116226196289,0.0029039382934570312,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000117, 73.03745402], [0.002762, 67.07030629], [0.002904, 52.15318583]]",0,quantum,1,
baseline,16,54.52969249298498,54.529692492984985,,2,0.09406280517578125,0.0026159286499023438,0.0,1011100110000011,+-+++--++-----++,0,False,"[[0.000113, 70.39490808], [0.002241, 69.51964787], [0.002426, 68.22205269], [0.002616, 54.52969249]]",1,quantum,1,
precond_pen=0.000,16,-0.1966222422259989,54.72989054440102,0.0,2,0.06118297576904297,0.014293909072875977,0.0,1110100110100010,+++-+--++-+---+-,0,False,"[[0.000111, 70.39490808], [0.002065, 67.64172728], [0.002273, 68.22205269], [0.002483, 54.52969249], [0.014294, 54.72989054]]",1,quantum,1,
precond_pen=0.200,16,-6.685738574024999,54.72989054440102,0.2,2,0.03935694694519043,0.0028200149536132812,0.0,1110100110100010,+++-+--++-+---+-,0,False,"[[0.000111, 70.39490808], [0.002504, 60.23665761], [0.00282, 54.72989054]]",1,quantum,1,
precond_pen=0.400,16,-5.208717196443003,54.72989054440102,0.4,2,0.03560495376586914,0.0024940967559814453,0.0,0001011001011101,---+-++--+-+++-+,0,False,"[[0.00011, 70.39490808], [0.002494, 54.72989054]]",1,quantum,1,
precond_pen=0.500,16,-3.1132452971339992,54.529692492984985,0.5,2,0.036412954330444336,0.021876096725463867,0.0,0100011001111100,-+---++--+++++--,0,False,"[[0.00011, 70.39490808], [0.002635, 59.28580243], [0.002983, 54.72989054], [0.021876, 54.52969249]]",1,quantum,1,
precond_pen=0.600,16,-2.2412789442710013,54.529692492984985,0.6,2,0.049447059631347656,0.03522086143493652,0.0,0100011001111100,-+---++--+++++--,0,False,"[[0.000108, 70.39490808], [0.002626, 58.23708405], [0.002899, 56.38487908], [0.003048, 54.72989054], [0.035221, 54.52969249]]",1,quantum,1,
precond_pen=0.700,16,-1.7955642973640042,54.529692492984985,0.7,2,0.06148505210876465,0.0034890174865722656,0.0,0100011001111100,-+---++--+++++--,0,False,"[[0.000116, 70.39490808], [0.002655, 65.89211518], [0.00299, 63.88214291], [0.003337, 59.96465013], [0.003489, 54.52969249]]",1,quantum,1,
precond_pen=0.800,16,-1.5283489038799996,54.529692492984985,0.8,2,0.09546589851379395,0.09243583679199219,0.0,1011100110000011,+-+++--++-----++,0,False,"[[0.000114, 70.39490808], [0.002523, 63.38503991], [0.002769, 58.24423838], [0.002915, 54.72989054], [0.092436, 54.52969249]]",1,quantum,1,
precond_pen=1.000,16,-1.223592315968001,54.529692492984985,1.0,2,0.164902925491333,0.14015889167785645,0.0,0100011001111100,-+---++--+++++--,0,False,"[[0.000114, 70.39490808], [0.00271, 60.39950462], [0.002878, 54.72989054], [0.140159, 54.52969249]]",1,quantum,1,
baseline,16,50.310833559542,50.310833559541976,,2,0.06561398506164551,0.0024938583374023438,0.0,1010001100110011,+-+---++--++--++,0,False,"[[0.000112, 62.56545302], [0.002322, 62.25577299], [0.002494, 50.31083356]]",2,quantum,1,
precond_pen=0.000,16,-0.7777464498069904,50.310833559541976,0.0,2,0.05586600303649902,0.00255584716796875,0.0,0101110011001100,-+-+++--++--++--,0,False,"[[0.000125, 62.56545302], [0.002389, 62.25577299], [0.002556, 50.31083356]]",2,quantum,1,
precond_pen=0.200,16,-7.885370817093,50.310833559541976,0.2,2,0.02772998809814453,0.002866029739379883,0.0,1010001100110011,+-+---++--++--++,0,False,"[[0.000115, 62.56545302], [0.002463, 57.90785445], [0.002619, 58.71992557], [0.002866, 50.31083356]]",2,quantum,1,
precond_pen=0.400,16,-5.396711035780998,50.310833559541976,0.4,2,0.01558685302734375,0.002833843231201172,0.0,1010001100110011,+-+---++--++--++,0,False,"[[0.00011, 62.56545302], [0.002524, 54.59904477], [0.002834, 50.31083356]]",2,quantum,1,
precond_pen=0.500,16,-3.332519695707001,50.310833559541976,0.5,2,0.03299212455749512,0.0028531551361083984,0.0,1010001100110011,+-+---++--++--++,0,False,"[[0.000114, 62.56545302], [0.00237, 60.20290325], [0.002548, 58.71992557], [0.002853, 50.31083356]]",2,quantum,1,
