name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
baseline,16,52.153185832214,52.15318583221401,,2,0.15871000289916992,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-2.546780855167995,52.15318583221401,0.0,2,0.10294389724731445,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-11.105818874889003,52.15318583221401,0.2,2,0.023555994033813477,0.0,0011110010011010,--++++--+--++-+-,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-9.564574079873001,52.15318583221401,0.4,2,0.01954197883605957,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-5.419243466306,52.15318583221401,0.5,2,0.02238917350769043,0.0,0011110010011010,--++++--+--++-+-,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-3.6280941843760015,52.15318583221401,0.6,2,0.019570112228393555,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-2.7672588756580003,52.15318583221401,0.7,2,0.025478124618530273,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-2.2738615524599988,52.15318583221401,0.8,2,0.02913188934326172,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.7323139450209988,52.15318583221401,1.0,2,0.039479970932006836,0.0,1100001101100101,++----++-++--+-+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,54.52969249298498,54.529692492984985,,2,0.2271888256072998,0.0,1011100110000011,+-+++--++-----++,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-0.1966222422259989,54.72989054440102,0.0,2,0.1603250503540039,0.0,1110100110100010,+++-+--++-+---+-,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-6.685738574024999,54.72989054440102,0.2,2,0.07774901390075684,0.0,1110100110100010,+++-+--++-+---+-,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-5.208717196443003,54.72989054440102,0.4,2,0.043325185775756836,0.0,0001011001011101,---+-++--+-+++-+,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.1132452971339992,54.529692492984985,0.5,2,0.037963151931762695,0.0,0100011001111100,-+---++--+++++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.2412789442710013,54.529692492984985,0.6,2,0.06051993370056152,0.0,0100011001111100,-+---++--+++++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.7955642973640042,54.529692492984985,0.7,2,0.08316683769226074,0.0,0100011001111100,-+---++--+++++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.5283489038799996,54.529692492984985,0.8,2,0.15102910995483398,0.0,1011100110000011,+-+++--++-----++,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.223592315968001,54.529692492984985,1.0,2,0.19678282737731934,0.0,0100011001111100,-+---++--+++++--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,50.310833559542,50.310833559541976,,2,0.10548996925354004,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-0.7777464498070117,50.310833559541976,0.0,2,0.1141657829284668,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-7.885370817093,50.310833559541976,0.2,2,0.03876090049743652,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-5.396711035780998,50.310833559541976,0.4,2,0.02352595329284668,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.332519695707001,50.310833559541976,0.5,2,0.04246997833251953,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.4259704552339993,50.310833559541976,0.6,2,0.07091403007507324,0.0,0101110011001100,-+-+++--++--++--,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.950059771856,50.310833559541976,0.7,2,0.08556199073791504,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.659797642953004,50.310833559541976,0.8,2,0.11418700218200684,0.0,1010001100110011,+-+---++--++--++,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.3239903880389994,50.310833559541976,1.0,2,0.17107892036437988,0.0,0101110011001100,-+-+++--++--++--,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,54.82900695729201,54.829006957292,,2,0.17305517196655273,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,0.6186357003919767,55.29132634059605,0.0,2,0.12716221809387207,0.0,1001101000100111,+--++-+---+--+++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-5.440512117399004,54.829006957292,0.2,2,0.09703302383422852,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-4.437851814019997,54.829006957292,0.4,2,0.027309894561767578,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-2.7812421120639943,54.829006957292,0.5,2,0.03087306022644043,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
