seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,100,classical,baseline,,True,0,7e-05,109.3548078,109.3548078
0,,100,classical,baseline,,True,1,0.016666,101.73928921,101.73928921
0,,100,classical,baseline,,True,2,0.016994,91.05430035,91.05430035
0,,100,classical,precond_pen=0.000,0.0,True,0,5.8e-05,109.3548078,109.3548078
0,,100,classical,precond_pen=0.200,0.2,True,0,0.000103,109.3548078,109.3548078
0,,100,classical,precond_pen=0.400,0.4,True,0,6.3e-05,109.3548078,109.3548078
0,,100,classical,precond_pen=0.600,0.6,True,0,6.9e-05,109.3548078,109.3548078
0,,100,classical,precond_pen=0.800,0.8,True,0,6.4e-05,109.3548078,109.3548078
0,,100,classical,precond_pen=1.000,1.0,True,0,0.000104,109.3548078,109.3548078
1,,100,classical,baseline,,True,0,0.000291,99.25133438,99.25133438
1,,100,classical,baseline,,True,1,0.03555,89.49026055,89.49026055
1,,100,classical,baseline,,True,2,0.911985,89.15091127,89.15091127
1,,100,classical,baseline,,True,3,1.001368,88.17732453,88.17732453
1,,100,classical,baseline,,True,4,1.001582,88.11235847,88.11235847
1,,100,classical,baseline,,True,5,1.001743,87.80957591,87.80957591
1,,100,classical,baseline,,True,6,1.001837,86.87741286,86.87741286
1,,100,classical,precond_pen=0.000,0.0,True,0,6e-05,99.25133438,99.25133438
1,,100,classical,precond_pen=0.200,0.2,True,0,7.8e-05,99.25133438,99.25133438
1,,100,classical,precond_pen=0.400,0.4,True,0,5.7e-05,99.25133438,99.25133438
1,,100,classical,precond_pen=0.600,0.6,True,0,5.9e-05,99.25133438,99.25133438
1,,100,classical,precond_pen=0.800,0.8,True,0,0.000227,99.25133438,99.25133438
1,,100,classical,precond_pen=1.000,1.0,True,0,6e-05,99.25133438,99.25133438
2,,100,classical,baseline,,True,0,6e-05,97.10293979,97.10293979
2,,100,classical,baseline,,True,1,0.015135,96.19013799,96.19013799
2,,100,classical,baseline,,True,2,0.016798,94.51580303,94.51580303
2,,100,classical,baseline,,True,3,0.017756,86.18601616,86.18601616
2,,100,classical,precond_pen=0.000,0.0,True,0,6.2e-05,97.10293979,97.10293979
2,,100,classical,precond_pen=0.200,0.2,True,0,6e-05,97.10293979,97.10293979
2,,100,classical,precond_pen=0.400,0.4,True,0,6.8e-05,97.10293979,97.10293979
2,,100,classical,precond_pen=0.600,0.6,True,0,0.000141,97.10293979,97.10293979
2,,100,classical,precond_pen=0.800,0.8,True,0,5.7e-05,97.10293979,97.10293979
2,,100,classical,precond_pen=1.000,1.0,True,0,6.3e-05,97.10293979,97.10293979
3,,100,classical,baseline,,True,0,0.000134,100.2592436,100.2592436
3,,100,classical,baseline,,True,1,0.007241,97.50484607,97.50484607
3,,100,classical,baseline,,True,2,0.007891,96.61527017,96.61527017
3,,100,classical,baseline,,True,3,0.008566,86.8557907,86.8557907
3,,100,classical,baseline,,True,4,0.107369,85.6764696,85.6764696
3,,100,classical,precond_pen=0.000,0.0,True,0,6.2e-05,100.2592436,100.2592436
3,,100,classical,precond_pen=0.200,0.2,True,0,6.4e-05,100.2592436,100.2592436
3,,100,classical,precond_pen=0.400,0.4,True,0,0.000175,100.2592436,100.2592436
3,,100,classical,precond_pen=0.600,0.6,True,0,6e-05,100.2592436,100.2592436
3,,100,classical,precond_pen=0.800,0.8,True,0,8.1e-05,100.2592436,100.2592436
3,,100,classical,precond_pen=1.000,1.0,True,0,5.9e-05,100.2592436,100.2592436
4,,100,classical,baseline,,True,0,6e-05,108.15912238,108.15912238
4,,100,classical,baseline,,True,1,0.012108,105.47468849,105.47468849
4,,100,classical,baseline,,True,2,0.012648,96.22615194,96.22615194
4,,100,classical,baseline,,True,3,2.606696,96.17217929,96.17217929
4,,100,classical,baseline,,True,4,2.673098,95.95165142,95.95165142
4,,100,classical,precond_pen=0.000,0.0,True,0,0.000278,108.15912238,108.15912238
4,,100,classical,precond_pen=0.200,0.2,True,0,9.2e-05,108.15912238,108.15912238
4,,100,classical,precond_pen=0.400,0.4,True,0,6.5e-05,108.15912238,108.15912238
4,,100,classical,precond_pen=0.600,0.6,True,0,5.9e-05,108.15912238,108.15912238
4,,100,classical,precond_pen=0.800,0.8,True,0,6.2e-05,108.15912238,108.15912238
4,,100,classical,precond_pen=1.000,1.0,True,0,8.8e-05,108.15912238,108.15912238
5,,100,classical,baseline,,True,0,6.4e-05,105.24454556,105.24454556
5,,100,classical,baseline,,True,1,0.008809,105.02124729,105.02124729
5,,100,classical,baseline,,True,2,0.009376,82.85950408,82.85950408
5,,100,classical,precond_pen=0.000,0.0,True,0,9.8e-05,105.24454556,105.24454556
5,,100,classical,precond_pen=0.200,0.2,True,0,6.9e-05,105.24454556,105.24454556
5,,100,classical,precond_pen=0.400,0.4,True,0,6.5e-05,105.24454556,105.24454556
5,,100,classical,precond_pen=0.600,0.6,True,0,9.3e-05,105.24454556,105.24454556
5,,100,classical,precond_pen=0.800,0.8,True,0,7.1e-05,105.24454556,105.24454556
5,,100,classical,precond_pen=1.000,1.0,True,0,0.001315,105.24454556,105.24454556
6,,100,classical,baseline,,True,0,0.000103,109.73299824,109.73299824
6,,100,classical,baseline,,True,1,0.021364,106.84662774,106.84662774
6,,100,classical,baseline,,True,2,0.022344,106.4692388,106.4692388
6,,100,classical,baseline,,True,3,0.023205,93.69489405,93.69489405
6,,100,classical,baseline,,True,4,0.178071,88.71565306,88.71565306
6,,100,classical,precond_pen=0.000,0.0,True,0,6.4e-05,109.73299824,109.73299824
