name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,seed,layers,data_root
baseline,20,91.05430035318493,91.054300353185,,2,1.3135089874267578,0.04308009147644043,0.0,00011101100010100111,---+++-++---+-+--+++,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,-0.5195217291859535,91.054300353185,0.0,2,0.6744120121002197,0.01889204978942871,0.0,11100010011101011000,+++---+--+++-+-++---,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-8.524642033861008,91.054300353185,0.2,2,0.43441009521484375,0.020605087280273438,0.0,00011101100010100111,---+++-++---+-+--+++,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-11.190334870928996,91.054300353185,0.3,2,0.20010995864868164,0.13511204719543457,0.0,11100010011101011000,+++---+--+++-+-++---,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-7.597413591566004,91.054300353185,0.4,2,0.2035200595855713,0.20231080055236816,0.0,11100010011101011000,+++---+--+++-+-++---,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,20,-4.3432210038940005,91.054300353185,0.5,2,0.18178796768188477,0.18047380447387695,0.0,11100010011101011000,+++---+--+++-+-++---,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,20,-2.968652954850006,91.054300353185,0.6,2,0.4224410057067871,0.08933711051940918,0.0,00011101100010100111,---+++-++---+-+--+++,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,20,-2.3020373545009907,91.054300353185,0.7,2,0.7322092056274414,0.028361082077026367,0.0,00011101100010100111,---+++-++---+-+--+++,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,20,-1.9159846971640047,91.054300353185,0.8,2,0.9535231590270996,0.03756213188171387,0.0,00011101100010100111,---+++-++---+-+--+++,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,20,-1.4880237501759996,91.054300353185,1.0,2,1.0276880264282227,1.0165510177612305,0.0,00011101100010100111,---+++-++---+-+--+++,0,True,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,20,86.87741285523705,86.87741285523705,,2,1.2860159873962402,0.7638158798217773,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,-0.24086705874699987,86.87741285523705,0.0,2,0.6673312187194824,0.011320114135742188,0.0,00100100101101011101,--+--+--+-++-+-+++-+,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-8.424003065644007,86.87741285523705,0.2,2,0.4726378917694092,0.01650094985961914,0.0,00100100101101011101,--+--+--+-++-+-+++-+,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-10.406700481789999,86.87741285523705,0.3,2,0.33222103118896484,0.03987407684326172,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-6.409014684857998,86.87741285523705,0.4,2,0.18384003639221191,0.03222012519836426,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,20,-3.727196938607996,86.87741285523705,0.5,2,0.22443699836730957,0.043508052825927734,6.744285959768457e-05,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,20,-2.629144339015001,86.87741285523705,0.6,2,0.6362779140472412,0.038954973220825195,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,20,-2.0792016709749994,86.87741285523705,0.7,2,0.781825065612793,0.044738054275512695,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,20,-1.7525566745650067,86.87741285523705,0.8,2,0.9181389808654785,0.013772010803222656,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,20,-1.382458487124996,86.87741285523705,1.0,2,1.147935152053833,0.016494035720825195,0.0,00100100101101011101,--+--+--+-++-+-+++-+,0,True,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,20,86.18601616309802,86.18601616309805,,2,1.2409169673919678,0.008833885192871094,0.0,01001101110100110100,-+--++-+++-+--++-+--,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,0.3029777934919906,86.949861277654,0.0,2,0.8825111389160156,0.8546710014343262,0.0,11010110101001010100,++-+-++-+-+--+-+-+--,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-6.880158591176993,86.949861277654,0.2,2,0.5088441371917725,0.018673181533813477,0.0,11010110101001010100,++-+-++-+-+--+-+-+--,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-8.578512309898002,86.18601616309805,0.3,2,0.3511378765106201,0.3491687774658203,0.0,01001101110100110100,-+--++-+++-+--++-+--,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-5.667418111474003,86.18601616309805,0.4,2,0.317241907119751,0.028880834579467773,0.0,01001101110100110100,-+--++-+++-+--++-+--,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,20,-3.4431498465499946,86.18601616309805,0.5,2,0.5245969295501709,0.2625091075897217,0.0,10110010001011001011,+-++--+---+-++--+-++,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,20,-2.468589735344999,86.18601616309805,0.6,2,0.6570210456848145,0.040437936782836914,0.0,10110010001011001011,+-++--+---+-++--+-++,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,20,-1.968633124179,86.18601616309805,0.7,2,0.8447291851043701,0.773688793182373,0.0,01001101110100110100,-+--++-+++-+--++-+--,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,20,-1.6685638973569912,86.18601616309805,0.8,2,1.0356831550598145,0.023370981216430664,0.0,10110010001011001011,+-++--+---+-++--+-++,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,20,-1.326063031889996,86.18601616309805,1.0,2,1.25404691696167,1.2130069732666016,0.0,10110010001011001011,+-++--+---+-++--+-++,0,True,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,20,85.67646959644996,85.67646959644996,,2,1.0972411632537842,0.1771860122680664,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,0.06123318792499788,85.67646959644996,0.0,2,0.7267799377441406,0.5360968112945557,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-8.225061868029002,85.67646959644996,0.2,2,0.4282510280609131,0.02321600914001465,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-9.667288927748999,85.67646959644996,0.3,2,0.34905409812927246,0.031024932861328125,6.587408707941513e-05,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-5.635000498652994,85.67646959644996,0.4,2,-2.0872838497161865,0.10258603096008301,6.693164656263722e-05,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,20,-3.343384835715005,85.67646959644996,0.5,2,0.5595118999481201,0.4255809783935547,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,20,-2.4054995442439946,85.67646959644996,0.6,2,0.6898040771484375,0.06670093536376953,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,20,-1.9264033463909982,85.67646959644996,0.7,2,1.003830909729004,0.9547770023345947,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,20,-1.6377403770359926,85.67646959644996,0.8,2,1.0130059719085693,0.5272359848022461,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,20,-1.3064874233210073,85.67646959644996,1.0,2,0.9323790073394775,0.8997900485992432,0.0,00000110111101100101,-----++-++++-++--+-+,0,True,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,20,95.9516514162469,95.95165141624703,,2,2.107120990753174,1.2821881771087646,0.0,01001101101001011100,-+--++-++-+--+-+++--,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,0.9361803594050429,96.53066340809089,0.0,2,1.0099618434906006,0.9860308170318604,0.0,11110001001100110010,++++---+--++--++--+-,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-5.859670093289994,96.53066340809089,0.2,2,0.5851180553436279,0.554840087890625,0.0,00001110110011001101,----+++-++--++--++-+,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-9.437186180026002,96.53066340809089,0.3,2,0.3682861328125,0.02950906753540039,0.0,11110001001100110010,++++---+--++--++--+-,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-6.173073332960998,96.53066340809089,0.4,2,0.42244601249694824,0.040635108947753906,6.320839150376691e-05,11110001001100110010,++++---+--++--++--+-,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,20,-3.4363671308240002,96.53066340809089,0.5,2,0.6085379123687744,0.03314399719238281,0.0,11110001001100110010,++++---+--++--++--+-,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,20,-2.3623496612020016,96.53066340809089,0.6,2,0.7511780261993408,0.7440280914306641,0.0,11110001001100110010,++++---+--++--++--+-,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,20,-1.8504492882529906,96.53066340809089,0.7,2,0.907397985458374,0.024770021438598633,0.0,00001110110011001101,----+++-++--++--++-+,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,20,-1.5615143159670009,96.17217928737297,0.8,2,1.0269379615783691,1.0254638195037842,0.0,00011100110011001101,---+++--++--++--++-+,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,20,-1.241589374270001,95.95165141624703,1.0,2,1.1206870079040527,1.108896017074585,0.0,01001101101001011100,-+--++-++-+--+-+++--,0,True,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,20,82.85950408443097,82.85950408443104,,2,1.1306989192962646,0.023572921752929688,0.0,11100001001100110101,+++----+--++--++-+-+,0,True,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,-0.901093172742975,82.85950408443104,0.0,2,0.6473588943481445,0.02042078971862793,0.0,11100001001100110101,+++----+--++--++-+-+,0,True,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-9.54770786704599,82.85950408443104,0.2,2,0.3340761661529541,0.3211948871612549,0.0,00011110110011001010,---++++-++--++--+-+-,0,True,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-10.799466324876004,82.85950408443104,0.3,2,0.1731090545654297,0.024532079696655273,0.0,00011110110011001010,---++++-++--++--+-+-,0,True,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-6.381574180923997,82.85950408443104,0.4,2,0.1529240608215332,0.03293204307556152,8.92353961322189e-06,11100001001100110101,+++----+--++--++-+-+,0,True,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
