name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,layers,preconditioner_family,data_root
precond_p=inf,20,-190.0,91.054300353185,0.0,2,0.002128124237060547,0.0015430450439453125,0.0,11100010011101011000,+++---+--+++-+-++---,0,False,"[[2.7e-05, 109.3548078], [0.001543, 91.05430035]]",0,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,86.87741285523705,0.0,2,0.001811981201171875,0.0014619827270507812,0.0,11011011010010100010,++-++-++-+--+-+---+-,0,False,"[[2.6e-05, 99.25133438], [0.001462, 86.87741286]]",1,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,86.18601616309805,0.0,2,0.0018877983093261719,0.0014858245849609375,0.0,10110010001011001011,+-++--+---+-++--+-++,0,False,"[[2.6e-05, 97.10293979], [0.001486, 86.18601616]]",2,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,85.67646959644996,0.0,2,0.0019130706787109375,0.0015170574188232422,0.0,11111001000010011010,+++++--+----+--++-+-,0,False,"[[2.6e-05, 100.2592436], [0.001517, 85.6764696]]",3,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,95.95165141624703,0.0,2,0.001936197280883789,0.0014960765838623047,0.0,10110010010110100011,+-++--+--+-++-+---++,0,False,"[[2.6e-05, 108.15912238], [0.001496, 95.95165142]]",4,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,82.85950408443104,0.0,2,0.0019178390502929688,0.0014820098876953125,0.0,11100001001100110101,+++----+--++--++-+-+,0,False,"[[2.7e-05, 105.24454556], [0.001482, 82.85950408]]",5,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,88.71565305593602,0.0,2,0.001806020736694336,0.001435995101928711,0.0,10001111000011111000,+---++++----+++++---,0,False,"[[2.6e-05, 109.73299824], [0.001436, 88.71565306]]",6,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,85.63690007828797,0.0,2,0.0018448829650878906,0.0014529228210449219,0.0,10010110110000111010,+--+-++-++----+++-+-,0,False,"[[2.6e-05, 100.42888407], [0.001453, 85.63690008]]",7,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,79.77328345706601,0.0,2,0.0020918846130371094,0.0015630722045898438,0.0,10101110100100110010,+-+-+++-+--+--++--+-,0,False,"[[2.6e-05, 96.55726062], [0.001563, 79.77328346]]",8,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,88.48452697954197,0.0,2,0.0019371509552001953,0.0014820098876953125,0.0,11011010110010101000,++-++-+-++--+-+-+---,0,False,"[[2.7e-05, 97.81162164], [0.001482, 88.48452698]]",9,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
