name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z
baseline,20,91.05430035318493,91.054300353185,,2,0.7123408317565918,0.0,00011101100010100111,---+++-++---+-+--+++,0
precond_pen=0.000,20,-0.5195217291859535,91.054300353185,0.0,2,0.507828950881958,0.0,11100010011101011000,+++---+--+++-+-++---,0
precond_pen=0.200,20,-8.524642033861008,91.054300353185,0.2,2,0.3668208122253418,0.0,00011101100010100111,---+++-++---+-+--+++,0
precond_pen=0.300,20,-11.190334870928996,91.054300353185,0.3,2,0.24489498138427734,0.0,11100010011101011000,+++---+--+++-+-++---,0
precond_pen=0.400,20,-7.597413591566004,91.054300353185,0.4,2,0.26832008361816406,0.0,11100010011101011000,+++---+--+++-+-++---,0
precond_pen=0.500,20,-4.3432210038940005,91.054300353185,0.5,2,0.2686879634857178,0.0,11100010011101011000,+++---+--+++-+-++---,0
precond_pen=0.600,20,-2.968652954850006,91.054300353185,0.6,2,0.3639249801635742,0.0,00011101100010100111,---+++-++---+-+--+++,0
precond_pen=0.700,20,-2.3020373545009907,91.054300353185,0.7,2,0.47324681282043457,0.0,00011101100010100111,---+++-++---+-+--+++,0
precond_pen=0.800,20,-1.9159846971640047,91.054300353185,0.8,2,0.5608539581298828,0.0,00011101100010100111,---+++-++---+-+--+++,0
precond_pen=1.000,20,-1.4880237501759996,91.054300353185,1.0,2,0.5083320140838623,0.0,00011101100010100111,---+++-++---+-+--+++,0
