name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,24,130.1153685081999,130.11536850820013,,2,2.3908660411834717,0.010720014572143555,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,False,"[[4.9e-05, 151.31257109], [0.01072, 130.11536851]]",0,classical,,1000
precond_pen=0.000,24,12.0,151.31257108623217,0.0,2,0.1206350326538086,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.2e-05, 151.31257109]]",0,classical,,1000
precond_pen=0.200,24,12.0,151.31257108623217,0.2,2,0.10023307800292969,5.1021575927734375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.1e-05, 151.31257109]]",0,classical,,1000
precond_pen=0.400,24,12.0,151.31257108623217,0.4,2,0.0970919132232666,4.887580871582031e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 151.31257109]]",0,classical,,1000
precond_pen=0.600,24,12.0,151.31257108623217,0.6,2,0.09882187843322754,4.410743713378906e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.4e-05, 151.31257109]]",0,classical,,1000
precond_pen=0.800,24,12.0,151.31257108623217,0.8,2,0.09269595146179199,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 151.31257109]]",0,classical,,1000
precond_pen=1.000,24,12.0,151.31257108623217,1.0,2,0.09454607963562012,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 151.31257109]]",0,classical,,1000
baseline,24,121.02014177323395,121.0201417732341,,2,3.92927885055542,0.004317045211791992,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,False,"[[4.4e-05, 151.85993202], [0.003995, 148.32766763], [0.004317, 121.02014177]]",1,classical,,1000
precond_pen=0.000,24,12.0,151.8599320159979,0.0,2,0.12095904350280762,7.200241088867188e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[7.2e-05, 151.85993202]]",1,classical,,1000
precond_pen=0.200,24,12.0,151.8599320159979,0.2,2,0.11290884017944336,5.4836273193359375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.5e-05, 151.85993202]]",1,classical,,1000
precond_pen=0.400,24,12.0,151.8599320159979,0.4,2,0.10237312316894531,4.8160552978515625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 151.85993202]]",1,classical,,1000
precond_pen=0.600,24,12.0,151.8599320159979,0.6,2,0.10005402565002441,4.601478576660156e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.6e-05, 151.85993202]]",1,classical,,1000
precond_pen=0.800,24,12.0,151.8599320159979,0.8,2,0.0977790355682373,4.7206878662109375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 151.85993202]]",1,classical,,1000
precond_pen=1.000,24,12.0,151.8599320159979,1.0,2,0.09888100624084473,4.506111145019531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 151.85993202]]",1,classical,,1000
baseline,24,119.81107703246303,119.81107703246302,,2,15.058286905288696,0.008336067199707031,0.0,111110010011001000000111,+++++--+--++--+------+++,0,False,"[[8.4e-05, 146.89416462], [0.006834, 145.95484003], [0.007382, 145.34607912], [0.007836, 141.85119029], [0.008336, 119.81107703]]",2,classical,,1000
precond_pen=0.000,24,12.0,146.89416461520912,0.0,2,0.1186528205871582,7.486343383789062e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[7.5e-05, 146.89416462]]",2,classical,,1000
precond_pen=0.200,24,12.0,146.89416461520912,0.2,2,0.10448098182678223,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 146.89416462]]",2,classical,,1000
precond_pen=0.400,24,12.0,146.89416461520912,0.4,2,0.10156512260437012,6.604194641113281e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[6.6e-05, 146.89416462]]",2,classical,,1000
precond_pen=0.600,24,12.0,146.89416461520912,0.6,2,0.10115194320678711,4.887580871582031e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 146.89416462]]",2,classical,,1000
precond_pen=0.800,24,12.0,146.89416461520912,0.8,2,0.09420084953308105,4.38690185546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.4e-05, 146.89416462]]",2,classical,,1000
precond_pen=1.000,24,12.0,146.89416461520912,1.0,2,0.09958505630493164,4.506111145019531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 146.89416462]]",2,classical,,1000
baseline,24,125.62957739668596,125.62957739668624,,2,4.0676000118255615,0.00791311264038086,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,False,"[[7.6e-05, 146.3517384], [0.006683, 144.71892395], [0.007316, 144.12851781], [0.007913, 125.6295774]]",3,classical,,1000
precond_pen=0.000,24,12.0,146.35173839713605,0.0,2,0.10663104057312012,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.2e-05, 146.3517384]]",3,classical,,1000
precond_pen=0.200,24,12.0,146.35173839713605,0.2,2,0.10285401344299316,5.0067901611328125e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5e-05, 146.3517384]]",3,classical,,1000
precond_pen=0.400,24,12.0,146.35173839713605,0.4,2,0.10156583786010742,4.57763671875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.6e-05, 146.3517384]]",3,classical,,1000
precond_pen=0.600,24,12.0,146.35173839713605,0.6,2,0.09871697425842285,4.506111145019531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 146.3517384]]",3,classical,,1000
precond_pen=0.800,24,12.0,146.35173839713605,0.8,2,0.10046100616455078,4.506111145019531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 146.3517384]]",3,classical,,1000
precond_pen=1.000,24,12.0,146.35173839713605,1.0,2,0.10755705833435059,4.506111145019531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 146.3517384]]",3,classical,,1000
baseline,24,137.4981912922499,137.4981912922501,,2,2.211454153060913,1.6213650703430176,0.0,001011001010110010101011,--+-++--+-+-++--+-+-+-++,0,False,"[[7.2e-05, 163.78368209], [0.006726, 163.51955531], [0.007312, 141.19074867], [1.235713, 139.47165956], [1.621365, 137.49819129]]",4,classical,,1000
precond_pen=0.000,24,12.0,163.78368208994414,0.0,2,0.09884905815124512,6.890296936035156e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[6.9e-05, 163.78368209]]",4,classical,,1000
precond_pen=0.200,24,12.0,163.78368208994414,0.2,2,0.1008450984954834,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.2e-05, 163.78368209]]",4,classical,,1000
precond_pen=0.400,24,12.0,163.78368208994414,0.4,2,0.11759090423583984,4.601478576660156e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.6e-05, 163.78368209]]",4,classical,,1000
precond_pen=0.600,24,12.0,163.78368208994414,0.6,2,0.10406303405761719,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 163.78368209]]",4,classical,,1000
precond_pen=0.800,24,12.0,163.78368208994414,0.8,2,0.09138894081115723,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 163.78368209]]",4,classical,,1000
precond_pen=1.000,24,12.0,163.78368208994414,1.0,2,0.09903812408447266,4.7206878662109375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 163.78368209]]",4,classical,,1000
baseline,24,120.608873588076,120.60887358807578,,2,10.05903697013855,0.11635804176330566,0.0,010011111011000001001011,-+--+++++-++-----+--+-++,0,False,"[[4.9e-05, 139.48194045], [0.005045, 122.92375639], [0.116358, 120.60887359]]",5,classical,,1000
precond_pen=0.000,24,12.0,139.48194044571815,0.0,2,0.1169281005859375,5.2928924560546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.3e-05, 139.48194045]]",5,classical,,1000
precond_pen=0.200,24,12.0,139.48194044571815,0.2,2,0.10999608039855957,4.9114227294921875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 139.48194045]]",5,classical,,1000
precond_pen=0.400,24,12.0,139.48194044571815,0.4,2,0.10447216033935547,4.7206878662109375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 139.48194045]]",5,classical,,1000
precond_pen=0.600,24,12.0,139.48194044571815,0.6,2,0.10265088081359863,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 139.48194045]]",5,classical,,1000
precond_pen=0.800,24,12.0,139.48194044571815,0.8,2,0.11069011688232422,4.9114227294921875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 139.48194045]]",5,classical,,1000
precond_pen=1.000,24,12.0,139.48194044571815,1.0,2,0.09777283668518066,4.38690185546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.4e-05, 139.48194045]]",5,classical,,1000
baseline,24,124.94988981299596,124.94988981299589,,2,2.8436310291290283,0.013627052307128906,0.0,100011001001101010110110,+---++--+--++-+-+-++-++-,0,False,"[[5.1e-05, 149.48860608], [0.012131, 149.45673148], [0.013627, 124.94988981]]",6,classical,,1000
precond_pen=0.000,24,12.0,149.48860607918633,0.0,2,0.10955309867858887,5.316734313964844e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.3e-05, 149.48860608]]",6,classical,,1000
precond_pen=0.200,24,12.0,149.48860607918633,0.2,2,0.09720611572265625,4.9114227294921875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 149.48860608]]",6,classical,,1000
precond_pen=0.400,24,12.0,149.48860607918633,0.4,2,0.10310888290405273,4.887580871582031e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 149.48860608]]",6,classical,,1000
precond_pen=0.600,24,12.0,149.48860607918633,0.6,2,0.09856081008911133,4.601478576660156e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.6e-05, 149.48860608]]",6,classical,,1000
precond_pen=0.800,24,12.0,149.48860607918633,0.8,2,0.09439587593078613,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 149.48860608]]",6,classical,,1000
precond_pen=1.000,24,12.0,149.48860607918633,1.0,2,0.09202098846435547,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 149.48860608]]",6,classical,,1000
baseline,24,121.48948729551496,121.48948729551489,,2,4.5256218910217285,0.003869771957397461,0.0,101110101010001100110001,+-+++-+-+-+---++--++---+,0,False,"[[4.8e-05, 149.37512207], [0.003225, 149.28647587], [0.003506, 144.13095631], [0.00387, 121.4894873]]",7,classical,,1000
precond_pen=0.000,24,12.0,149.3751220674371,0.0,2,0.1135108470916748,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.2e-05, 149.37512207]]",7,classical,,1000
precond_pen=0.200,24,12.0,149.3751220674371,0.2,2,0.10537600517272949,6.794929504394531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[6.8e-05, 149.37512207]]",7,classical,,1000
precond_pen=0.400,24,12.0,149.3751220674371,0.4,2,0.09700202941894531,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 149.37512207]]",7,classical,,1000
precond_pen=0.600,24,12.0,149.3751220674371,0.6,2,0.09429597854614258,0.00011301040649414062,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[0.000113, 149.37512207]]",7,classical,,1000
precond_pen=0.800,24,12.0,149.3751220674371,0.8,2,0.10718083381652832,4.38690185546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.4e-05, 149.37512207]]",7,classical,,1000
precond_pen=1.000,24,12.0,149.3751220674371,1.0,2,0.10417389869689941,4.506111145019531e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 149.37512207]]",7,classical,,1000
baseline,24,121.31159902354509,121.3115990235448,,2,4.5488691329956055,2.0235090255737305,0.0,111010001101010100011100,+++-+---++-+-+-+---+++--,0,False,"[[0.000253, 143.54497724], [0.008476, 121.40060679], [2.023509, 121.31159902]]",8,classical,,1000
precond_pen=0.000,24,12.0,143.544977241157,0.0,2,0.11731314659118652,5.1021575927734375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.1e-05, 143.54497724]]",8,classical,,1000
precond_pen=0.200,24,12.0,143.544977241157,0.2,2,0.10190796852111816,5.1021575927734375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.1e-05, 143.54497724]]",8,classical,,1000
precond_pen=0.400,24,12.0,143.544977241157,0.4,2,0.1084740161895752,5.3882598876953125e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.4e-05, 143.54497724]]",8,classical,,1000
precond_pen=0.600,24,12.0,143.544977241157,0.6,2,0.1006321907043457,4.9114227294921875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 143.54497724]]",8,classical,,1000
precond_pen=0.800,24,12.0,143.544977241157,0.8,2,0.09691309928894043,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 143.54497724]]",8,classical,,1000
precond_pen=1.000,24,12.0,143.544977241157,1.0,2,0.0964670181274414,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 143.54497724]]",8,classical,,1000
baseline,24,129.879929766075,129.8799297660751,,2,7.91051983833313,7.263666868209839,0.0,100001111001010100101011,+----++++--+-+-+--+-+-++,0,False,"[[6.3e-05, 151.73415711], [0.004958, 130.03977138], [2.250195, 129.91584217], [7.263667, 129.87992977]]",9,classical,,1000
precond_pen=0.000,24,12.0,151.73415711145324,0.0,2,0.11873602867126465,6.29425048828125e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[6.3e-05, 151.73415711]]",9,classical,,1000
precond_pen=0.200,24,12.0,151.73415711145324,0.2,2,0.11585283279418945,5.1021575927734375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.1e-05, 151.73415711]]",9,classical,,1000
precond_pen=0.400,24,12.0,151.73415711145324,0.4,2,0.11228394508361816,5.3882598876953125e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.4e-05, 151.73415711]]",9,classical,,1000
precond_pen=0.600,24,12.0,151.73415711145324,0.6,2,0.11158204078674316,5.0067901611328125e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5e-05, 151.73415711]]",9,classical,,1000
precond_pen=0.800,24,12.0,151.73415711145324,0.8,2,0.10940313339233398,5.412101745605469e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.4e-05, 151.73415711]]",9,classical,,1000
precond_pen=1.000,24,12.0,151.73415711145324,1.0,2,0.11762499809265137,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.8e-05, 151.73415711]]",9,classical,,1000
baseline,24,118.76675420807803,118.76675420807787,,2,3.7684781551361084,0.005048036575317383,0.0,011000101101000111110100,-++---+-++-+---+++++-+--,0,False,"[[4.5e-05, 141.22609529], [0.004075, 139.70773487], [0.005048, 118.76675421]]",10,classical,,1000
precond_pen=0.000,24,12.0,141.22609529146,0.0,2,0.11346602439880371,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.2e-05, 141.22609529]]",10,classical,,1000
