name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,24,130.1153685081999,130.11536850820013,,2,5.0115580558776855,0.02185201644897461,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,False,"[[0.002092, 151.31257109], [0.021852, 130.11536851]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,12.0,151.31257108623217,0.0,2,0.13495802879333496,5.793571472167969e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.8e-05, 151.31257109]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,11.99400000000037,151.31257108623217,0.2,2,0.12642407417297363,5.5789947509765625e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.6e-05, 151.31257109]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,11.996000000000265,151.31257108623217,0.4,2,0.13313817977905273,5.7220458984375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.7e-05, 151.31257109]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,11.988000000000227,151.31257108623217,0.6,2,0.12504816055297852,7.796287536621094e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[7.8e-05, 151.31257109]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,24,11.992000000000473,151.31257108623217,0.8,2,0.12248015403747559,7.605552673339844e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[7.6e-05, 151.31257109]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,24,11.996000000000265,151.31257108623217,1.0,2,0.11681103706359863,7.414817810058594e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[7.4e-05, 151.31257109]]",0,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,24,121.02014177323395,121.0201417732341,,2,1.7051169872283936,0.005651950836181641,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,False,"[[5.5e-05, 151.85993202], [0.005017, 148.32766763], [0.005652, 121.02014177]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,11.998000000000218,151.8599320159979,0.0,2,0.12233805656433105,5.507469177246094e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.5e-05, 151.85993202]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,11.986000000000615,151.8599320159979,0.2,2,0.11067581176757812,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.7e-05, 151.85993202]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,11.996000000000151,151.8599320159979,0.4,2,0.10575103759765625,4.410743713378906e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.4e-05, 151.85993202]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,11.998000000000275,151.8599320159979,0.6,2,0.0928349494934082,4.482269287109375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.5e-05, 151.85993202]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,24,11.992000000000587,151.8599320159979,0.8,2,0.09926199913024902,6.389617919921875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[6.4e-05, 151.85993202]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,24,11.994000000000085,151.8599320159979,1.0,2,0.09780383110046387,4.38690185546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.4e-05, 151.85993202]]",1,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,24,119.81107703246303,119.81107703246302,,2,15.591439008712769,0.004682064056396484,0.0,111110010011001000000111,+++++--+--++--+------+++,0,False,"[[4.7e-05, 146.89416462], [0.003705, 145.95484003], [0.004054, 145.34607912], [0.004353, 141.85119029], [0.004682, 119.81107703]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,11.994000000000142,146.89416461520912,0.0,2,0.1368410587310791,5.412101745605469e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.4e-05, 146.89416462]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,11.99000000000052,146.89416461520912,0.2,2,0.11946988105773926,5.793571472167969e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.8e-05, 146.89416462]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,11.99400000000037,146.89416461520912,0.4,2,0.10982108116149902,4.601478576660156e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.6e-05, 146.89416462]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,11.990000000000123,146.89416461520912,0.6,2,0.11735415458679199,4.9114227294921875e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[4.9e-05, 146.89416462]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,24,11.994000000000199,146.89416461520912,0.8,2,0.1269829273223877,5.0067901611328125e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5e-05, 146.89416462]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,24,11.996000000000095,146.89416461520912,1.0,2,0.13623499870300293,7.104873657226562e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[7.1e-05, 146.89416462]]",2,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,24,125.62957739668596,125.62957739668624,,2,4.450734853744507,0.010602951049804688,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,False,"[[0.000116, 146.3517384], [0.008333, 144.71892395], [0.009369, 144.12851781], [0.010603, 125.6295774]]",3,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,11.998000000000218,146.35173839713605,0.0,2,0.12363886833190918,5.1021575927734375e-05,0.0,111111111111000000000000,++++++++++++------------,0,False,"[[5.1e-05, 146.3517384]]",3,classical,,10,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
