name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,24,130.1153685081999,130.11536850820013,,2,0.6919341087341309,0.009878158569335938,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.000177, 151.31257109], [0.008627, 147.53358726], [0.009491, 142.88581991], [0.009878, 130.11536851]]",0,quantum,1,
precond_pen=0.000,24,-1.4947408119550545,130.82748979169813,0.0,2,0.2294309139251709,0.006509065628051758,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[0.000131, 151.31257109], [0.005441, 149.6110998], [0.00604, 142.88581991], [0.006509, 130.82748979]]",0,quantum,1,
precond_pen=0.200,24,-12.04431858352099,130.82748979169813,0.2,2,0.20792698860168457,0.00637507438659668,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[0.000137, 151.31257109], [0.006375, 130.82748979]]",0,quantum,1,
precond_pen=0.300,24,-14.706421828934005,130.82748979169813,0.3,2,0.16955089569091797,0.16896796226501465,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[0.000123, 151.31257109], [0.005644, 143.90499099], [0.005976, 142.88581991], [0.006421, 130.82748979], [0.168968, 130.82748979]]",0,quantum,1,
precond_pen=0.400,24,-9.272235415161006,130.11536850820013,0.4,2,0.26209521293640137,0.006585121154785156,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000124, 151.31257109], [0.00619, 141.02754426], [0.006585, 130.11536851]]",0,quantum,1,
precond_pen=0.500,24,-5.441217369719006,130.11536850820013,0.5,2,0.27915501594543457,0.27843809127807617,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.000135, 151.31257109], [0.005945, 152.07297614], [0.006605, 130.11536851], [0.2781, 131.29920934], [0.278438, 131.29920934]]",0,quantum,1,
precond_pen=0.600,24,-3.685193698284003,130.11536850820013,0.6,2,0.3437690734863281,0.006823062896728516,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000126, 151.31257109], [0.006368, 148.4212534], [0.006823, 130.11536851]]",0,quantum,1,
precond_pen=0.700,24,-2.8310549367079965,130.11536850820013,0.7,2,0.4979259967803955,0.0073359012603759766,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.000145, 151.31257109], [0.006229, 149.93575253], [0.006746, 142.88581991], [0.007336, 130.11536851]]",0,quantum,1,
precond_pen=0.800,24,-2.3355362101970023,130.11536850820013,0.8,2,0.504910945892334,0.0072438716888427734,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.00013, 151.31257109], [0.006935, 149.64061042], [0.007244, 130.11536851]]",0,quantum,1,
precond_pen=1.000,24,-1.7854478882939997,130.11536850820013,1.0,2,0.5880839824676514,0.006661891937255859,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000128, 151.31257109], [0.006358, 150.09155681], [0.006662, 130.11536851]]",0,quantum,1,
baseline,24,121.02014177323395,121.0201417732341,,2,0.7864160537719727,0.005641937255859375,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,True,"[[0.000124, 151.85993202], [0.005351, 148.32766763], [0.005642, 121.02014177]]",1,quantum,1,
precond_pen=0.000,24,-0.5222996577961254,121.24790097132205,0.0,2,0.2617158889770508,0.06537604331970215,0.0,111011001101000000001111,+++-++--++-+--------++++,0,True,"[[0.000124, 151.85993202], [0.00523, 146.61414608], [0.005663, 123.98220723], [0.065059, 121.03008843], [0.065376, 121.24790097]]",1,quantum,1,
precond_pen=0.200,24,-10.663077285523993,121.03008842867203,0.2,2,0.20781803131103516,0.026951074600219727,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000121, 151.85993202], [0.005713, 134.22471363], [0.00658, 130.09219328], [0.007136, 121.24790097], [0.026951, 121.03008843]]",1,quantum,1,
precond_pen=0.300,24,-11.617263525246,121.03008842867203,0.3,2,0.15494608879089355,0.15140914916992188,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.000116, 151.85993202], [0.005992, 138.68800307], [0.006575, 135.74296883], [0.007142, 121.24790097], [0.024272, 121.7777424], [0.104612, 121.03008843], [0.151242, 121.82896504], [0.151409, 123.16646271]]",1,quantum,1,
precond_pen=0.400,24,-6.5533771279879875,121.03008842867203,0.4,2,0.24048900604248047,0.007219076156616211,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000118, 151.85993202], [0.006043, 136.94684251], [0.006622, 135.74296883], [0.007219, 121.03008843]]",1,quantum,1,
precond_pen=0.500,24,-4.174716863117995,121.03008842867203,0.5,2,0.36788105964660645,0.2460629940032959,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000124, 151.85993202], [0.006291, 140.04539223], [0.006835, 139.77663081], [0.007494, 121.24790097], [0.246063, 121.03008843]]",1,quantum,1,
precond_pen=0.600,24,-2.951918243362007,121.03008842867203,0.6,2,0.434420108795166,0.0069751739501953125,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000116, 151.85993202], [0.005931, 142.37098881], [0.0063, 142.74572668], [0.006595, 141.8555142], [0.006975, 121.03008843]]",1,quantum,1,
precond_pen=0.700,24,-2.3314822066619953,121.03008842867203,0.7,2,0.5626850128173828,0.022237062454223633,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000119, 151.85993202], [0.00594, 135.78268677], [0.0064, 135.74296883], [0.006916, 121.24790097], [0.022237, 121.03008843]]",1,quantum,1,
precond_pen=0.800,24,-1.9597936035070003,121.03008842867203,0.8,2,0.6706209182739258,0.007025003433227539,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000119, 151.85993202], [0.006633, 136.38289056], [0.007025, 121.03008843]]",1,quantum,1,
precond_pen=1.000,24,-1.5354310320440092,121.03008842867203,1.0,2,0.7296450138092041,0.007703065872192383,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000121, 151.85993202], [0.007423, 143.51327592], [0.007703, 121.03008843]]",1,quantum,1,
baseline,24,119.81107703246303,119.81107703246302,,2,0.9632260799407959,0.007622957229614258,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.00013, 146.89416462], [0.0063, 146.52662832], [0.006934, 145.34607912], [0.007273, 141.85119029], [0.007623, 119.81107703]]",2,quantum,1,
precond_pen=0.000,24,-0.680852835622062,120.04510978351907,0.0,2,0.2910640239715576,0.00558781623840332,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000125, 146.89416462], [0.005588, 120.04510978]]",2,quantum,1,
precond_pen=0.200,24,-10.436256677305998,120.04510978351907,0.2,2,0.20664405822753906,0.0067059993743896484,0.0,000101101100110011111000,---+-++-++--++--+++++---,0,True,"[[0.000121, 146.89416462], [0.00591, 130.01234749], [0.006706, 120.04510978]]",2,quantum,1,
precond_pen=0.300,24,-11.412417660856,120.04510978351907,0.3,2,0.32843804359436035,0.023452043533325195,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000116, 146.89416462], [0.006107, 135.55410139], [0.006773, 132.74752125], [0.007142, 120.8981552], [0.023452, 120.04510978]]",2,quantum,1,
precond_pen=0.400,24,-6.587195543219993,119.81107703246302,0.4,2,0.2771589756011963,0.2763700485229492,0.0,000001101100110111111000,-----++-++--++-++++++---,0,True,"[[0.000115, 146.89416462], [0.006201, 139.772386], [0.006531, 121.36688993], [0.023418, 120.40661694], [0.256281, 120.04510978], [0.256392, 119.81107703], [0.27637, 119.81107703]]",2,quantum,1,
precond_pen=0.500,24,-4.179374449028998,119.81107703246302,0.5,2,0.40560293197631836,0.006941795349121094,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000117, 146.89416462], [0.005965, 139.09467624], [0.006942, 119.81107703]]",2,quantum,1,
precond_pen=0.600,24,-2.9621152060499956,119.81107703246302,0.6,2,0.5450029373168945,0.5443868637084961,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000124, 146.89416462], [0.006875, 133.45251677], [0.007261, 121.36688993], [0.521392, 120.67674294], [0.521528, 120.06666894], [0.521609, 119.81107703], [0.544387, 119.81107703]]",2,quantum,1,
precond_pen=0.700,24,-2.3397996844169953,119.81107703246302,0.7,2,0.6306397914886475,0.024263858795166016,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000118, 146.89416462], [0.006041, 138.32895181], [0.006638, 136.88668467], [0.006959, 121.36688993], [0.022804, 120.8981552], [0.024264, 119.81107703]]",2,quantum,1,
precond_pen=0.800,24,-1.9664975833599918,119.81107703246302,0.8,2,0.7759730815887451,0.007003068923950195,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000123, 146.89416462], [0.006653, 139.27145581], [0.007003, 119.81107703]]",2,quantum,1,
precond_pen=1.000,24,-1.5403172466800008,119.81107703246302,1.0,2,0.8862080574035645,0.8852829933166504,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000121, 146.89416462], [0.005995, 135.37374345], [0.006531, 133.37323234], [0.006882, 120.8981552], [0.686227, 120.67674294], [0.821163, 119.81107703], [0.885283, 119.81107703]]",2,quantum,1,
baseline,24,125.62957739668596,125.62957739668624,,2,0.5830349922180176,0.00603485107421875,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,True,"[[0.000119, 146.3517384], [0.004862, 141.44536594], [0.005609, 141.21821994], [0.006035, 125.6295774]]",3,quantum,1,
precond_pen=0.000,24,-0.7175699241259537,125.62957739668624,0.0,2,0.2131950855255127,0.005774974822998047,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000118, 146.3517384], [0.004739, 138.34236471], [0.00525, 138.70272151], [0.005775, 125.6295774]]",3,quantum,1,
precond_pen=0.200,24,-11.939059044788001,125.62957739668624,0.2,2,0.21351981163024902,0.006474971771240234,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000115, 146.3517384], [0.005659, 139.5817564], [0.006475, 125.6295774]]",3,quantum,1,
precond_pen=0.300,24,-14.413933198117999,125.62957739668624,0.3,2,0.06276416778564453,0.006514072418212891,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000122, 146.3517384], [0.00605, 137.27797658], [0.006514, 125.6295774]]",3,quantum,1,
