name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,all_feasible,orig_traj,gurobi_log,seed,layers,data_root
baseline,24,130.1153685081999,130.11536850820013,,2,4.9154582023620605,0.0381619930267334,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.00011801719665527344, 151.31257108623217], [0.0381619930267334, 130.11536850820013]]","[[0.00011801719665527344, 151.31257108623217], [0.0381619930267334, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:05 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,24,-1.4947408119550545,130.82748979169813,0.0,2,-1.3054091930389404,0.020307064056396484,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[8.988380432128906e-05, 151.31257108623217], [0.01662898063659668, 150.01786999890615], [0.018281936645507812, 142.8858199057121], [0.020307064056396484, 130.82748979169813]]","[[8.988380432128906e-05, 151.31257108623217], [0.01662898063659668, 150.01786999890615], [0.018281936645507812, 142.8858199057121], [0.020307064056396484, 130.82748979169813]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:10 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,24,-12.04431858352099,130.82748979169813,0.2,2,0.6598491668701172,0.02319502830505371,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[0.00019407272338867188, 151.31257108623217], [0.018741130828857422, 149.52603016015613], [0.020328044891357422, 142.8858199057121], [0.02319502830505371, 130.82748979169813]]","[[0.00019407272338867188, 151.31257108623217], [0.018741130828857422, 149.52603016015613], [0.020328044891357422, 142.8858199057121], [0.02319502830505371, 130.82748979169813]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:09 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,24,-14.706421828934005,130.82748979169813,0.3,2,0.5390028953552246,0.03234386444091797,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[0.00010800361633300781, 151.31257108623217], [0.025918960571289062, 143.75220831593023], [0.03234386444091797, 130.82748979169813]]","[[0.00010800361633300781, 151.31257108623217], [0.025918960571289062, 143.75220831593023], [0.03234386444091797, 130.82748979169813]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:10 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-9.272235415161006,130.11536850820013,0.4,2,0.7310338020324707,0.027281999588012695,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[9.179115295410156e-05, 151.31257108623217], [0.025911808013916016, 141.0275442563201], [0.027281999588012695, 130.11536850820013]]","[[9.179115295410156e-05, 151.31257108623217], [0.025911808013916016, 141.0275442563201], [0.027281999588012695, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:10 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,24,-5.145950965941994,130.11536850820013,0.5,2,0.6904468536376953,0.029986858367919922,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.0001068115234375, 151.31257108623217], [0.027815818786621094, 144.06945198739018], [0.029986858367919922, 130.11536850820013]]","[[0.0001068115234375, 151.31257108623217], [0.027815818786621094, 144.06945198739018], [0.029986858367919922, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:11 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,24,-3.478392773821005,130.11536850820013,0.6,2,0.912153959274292,0.027920961380004883,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[9.298324584960938e-05, 151.31257108623217], [0.026576995849609375, 139.2356380525321], [0.027920961380004883, 130.11536850820013]]","[[9.298324584960938e-05, 151.31257108623217], [0.026576995849609375, 139.2356380525321], [0.027920961380004883, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:12 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,24,-2.212987163624012,130.11536850820013,0.8,2,1.3731529712677002,0.026662111282348633,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[9.703636169433594e-05, 151.31257108623217], [0.026662111282348633, 130.11536850820013]]","[[9.703636169433594e-05, 151.31257108623217], [0.026662111282348633, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:13 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,24,121.02014177323395,121.0201417732341,,2,5.759488105773926,0.014549970626831055,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,True,"[[7.510185241699219e-05, 151.8599320159979], [0.0133819580078125, 148.32766762679177], [0.014549970626831055, 121.0201417732341]]","[[7.510185241699219e-05, 151.8599320159979], [0.0133819580078125, 148.32766762679177], [0.014549970626831055, 121.0201417732341]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:14 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,24,-0.5222996577961254,121.24790097132205,0.0,2,1.6255860328674316,0.023684024810791016,0.0,111011001101000000001111,+++-++--++-+--------++++,0,True,"[[8.487701416015625e-05, 151.8599320159979], [0.019060850143432617, 148.46497423423597], [0.021908044815063477, 143.11929873914585], [0.023684024810791016, 121.24790097132205]]","[[8.487701416015625e-05, 151.8599320159979], [0.019060850143432617, 148.46497423423597], [0.021908044815063477, 143.11929873914585], [0.023684024810791016, 121.24790097132205]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:20 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,24,-10.663077285523983,121.03008842867203,0.2,2,0.4582479000091553,0.021531105041503906,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[8.106231689453125e-05, 151.8599320159979], [0.018655061721801758, 129.73530940107798], [0.021531105041503906, 121.03008842867203]]","[[8.106231689453125e-05, 151.8599320159979], [0.018655061721801758, 129.73530940107798], [0.021531105041503906, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:22 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,24,-11.617263525246,121.03008842867203,0.3,2,0.2834630012512207,0.0578150749206543,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[8.0108642578125e-05, 151.8599320159979], [0.01306295394897461, 137.14112088719617], [0.016019105911254883, 135.74296882536993], [0.018275022506713867, 121.24790097132205], [0.0578150749206543, 121.03008842867203]]","[[8.0108642578125e-05, 151.8599320159979], [0.01306295394897461, 137.14112088719617], [0.016019105911254883, 135.74296882536993], [0.018275022506713867, 121.24790097132205], [0.0578150749206543, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:22 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-6.5533771279879875,121.03008842867203,0.4,2,0.44472193717956543,0.029736995697021484,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[8.106231689453125e-05, 151.8599320159979], [0.024447917938232422, 139.07169976134827], [0.026896953582763672, 135.74296882536993], [0.029736995697021484, 121.03008842867203]]","[[8.106231689453125e-05, 151.8599320159979], [0.024447917938232422, 139.07169976134827], [0.026896953582763672, 135.74296882536993], [0.029736995697021484, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:23 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,24,-3.8482000751389975,121.03008842867203,0.5,2,1.0204830169677734,0.026594877243041992,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.00014495849609375, 151.8599320159979], [0.02080702781677246, 132.49500674407403], [0.024662017822265625, 131.11569395068818], [0.026594877243041992, 121.03008842867203]]","[[0.00014495849609375, 151.8599320159979], [0.02080702781677246, 132.49500674407403], [0.024662017822265625, 131.11569395068818], [0.026594877243041992, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:23 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,24,-2.74944226213999,121.03008842867203,0.6,2,1.2323200702667236,1.1343128681182861,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[8.702278137207031e-05, 151.8599320159979], [0.01920485496520996, 147.44987893498222], [0.020457029342651367, 121.77774239825412], [1.1343128681182861, 121.03008842867203]]","[[8.702278137207031e-05, 151.8599320159979], [0.01920485496520996, 147.44987893498222], [0.020457029342651367, 121.77774239825412], [1.1343128681182861, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:24 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,24,-1.8488075208189994,121.03008842867203,0.8,2,2.4343578815460205,0.021708011627197266,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[7.987022399902344e-05, 151.8599320159979], [0.02060699462890625, 140.26351599144004], [0.021708011627197266, 121.03008842867203]]","[[7.987022399902344e-05, 151.8599320159979], [0.02060699462890625, 140.26351599144004], [0.021708011627197266, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:25 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,24,119.81107703246303,119.81107703246302,,2,6.274917840957642,0.018991947174072266,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[8.893013000488281e-05, 146.89416461520912], [0.014338016510009766, 145.95484002714286], [0.015892982482910156, 145.34607912181102], [0.01751089096069336, 141.85119029034107], [0.018991947174072266, 119.81107703246302]]","[[8.893013000488281e-05, 146.89416461520912], [0.014338016510009766, 145.95484002714286], [0.015892982482910156, 145.34607912181102], [0.01751089096069336, 141.85119029034107], [0.018991947174072266, 119.81107703246302]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:28 2026

",2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
