name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,28,176.91274938179578,176.91274938179572,,2,27.753113985061646,27.743070125579834,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[9.8e-05, 216.86669539], [0.021455, 209.92844421], [0.022799, 176.91274938], [27.74307, 176.91274938]]",0,classical,,1000
precond_pen=0.000,28,14.0,216.8666953854601,0.0,2,0.25234508514404297,6.318092346191406e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[6.3e-05, 216.86669539]]",0,classical,,1000
precond_pen=0.200,28,14.0,216.8666953854601,0.2,2,0.21274304389953613,5.602836608886719e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5.6e-05, 216.86669539]]",0,classical,,1000
precond_pen=0.400,28,14.0,216.8666953854601,0.4,2,0.23274803161621094,5.602836608886719e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5.6e-05, 216.86669539]]",0,classical,,1000
precond_pen=0.600,28,14.0,216.8666953854601,0.6,2,0.21779108047485352,5.221366882324219e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5.2e-05, 216.86669539]]",0,classical,,1000
precond_pen=0.800,28,14.0,216.8666953854601,0.8,2,0.2502620220184326,4.792213439941406e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[4.8e-05, 216.86669539]]",0,classical,,1000
precond_pen=1.000,28,14.0,216.8666953854601,1.0,2,0.20366215705871582,4.315376281738281e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[4.3e-05, 216.86669539]]",0,classical,,1000
baseline,28,164.34075451243584,164.3407545124361,,2,53.13180708885193,53.12858319282532,0.0,0101110010111000100110110100,-+-+++--+-+++---+--++-++-+--,0,True,"[[8.2e-05, 189.51579027], [0.014449, 188.53795766], [0.015585, 165.80522431], [0.225714, 165.52263042], [1.545814, 164.34075451], [53.128583, 164.34075451]]",1,classical,,1000
precond_pen=0.000,28,14.0,189.51579027363,0.0,2,0.2527627944946289,5.793571472167969e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5.8e-05, 189.51579027]]",1,classical,,1000
precond_pen=0.200,28,14.0,189.51579027363,0.2,2,0.19202804565429688,4.9114227294921875e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[4.9e-05, 189.51579027]]",1,classical,,1000
precond_pen=0.400,28,14.0,189.51579027363,0.4,2,0.20663189888000488,6.794929504394531e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[6.8e-05, 189.51579027]]",1,classical,,1000
precond_pen=0.600,28,14.0,189.51579027363,0.6,2,0.24334502220153809,5.0067901611328125e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5e-05, 189.51579027]]",1,classical,,1000
precond_pen=0.800,28,14.0,189.51579027363,0.8,2,0.1914501190185547,4.696846008300781e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[4.7e-05, 189.51579027]]",1,classical,,1000
precond_pen=1.000,28,14.0,189.51579027363,1.0,2,0.20653700828552246,5.0067901611328125e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5e-05, 189.51579027]]",1,classical,,1000
baseline,28,165.79827070364917,165.798270703649,,2,17.54351305961609,17.53816294670105,0.0,0101001111100110101010000110,-+-+--+++++--++-+-+-+----++-,0,True,"[[8.3e-05, 184.10834611], [0.035739, 171.96795728], [1.518427, 170.29763629], [1.613271, 169.72247134], [1.79943, 169.27765822], [1.961769, 167.09417827], [2.304077, 165.84205169], [2.304631, 165.7982707], [17.538163, 165.7982707]]",2,classical,,1000
precond_pen=0.000,28,14.0,184.10834610897876,0.0,2,0.22227787971496582,5.984306335449219e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[6e-05, 184.10834611]]",2,classical,,1000
precond_pen=0.200,28,14.0,184.10834610897876,0.2,2,0.22210478782653809,5.984306335449219e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[6e-05, 184.10834611]]",2,classical,,1000
precond_pen=0.400,28,14.0,184.10834610897876,0.4,2,0.24802589416503906,5.1021575927734375e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5.1e-05, 184.10834611]]",2,classical,,1000
precond_pen=0.600,28,14.0,184.10834610897876,0.6,2,0.18403100967407227,4.696846008300781e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[4.7e-05, 184.10834611]]",2,classical,,1000
precond_pen=0.800,28,14.0,184.10834610897876,0.8,2,0.22724199295043945,4.887580871582031e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[4.9e-05, 184.10834611]]",2,classical,,1000
precond_pen=1.000,28,14.0,184.10834610897876,1.0,2,0.1933591365814209,5.412101745605469e-05,0.0,1111111111111100000000000000,++++++++++++++--------------,0,True,"[[5.4e-05, 184.10834611]]",2,classical,,1000
