name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,36,293.18593461165005,293.18593461165005,,2,16.67827582359314,0.08967304229736328,0.0,100000110010011100001111011110111000,+-----++--+--+++----++++-++++-+++---,0,True,"[[0.00019, 337.80526133], [0.014743, 332.17971204], [0.016399, 331.94663861], [0.0174, 301.2496682], [0.089673, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,36,-19.930873586480956,294.46576410536795,0.2,2,1.9089748859405518,0.01444101333618164,0.0,100000111010011100000111011110110100,+-----+++-+--+++-----+++-++++-++-+--,0,True,"[[0.000116, 337.80526133], [0.010967, 332.3759392], [0.014441, 294.46576411]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,36,-22.47963557331,293.18593461165005,0.3,2,0.741447925567627,0.013129949569702148,0.0,100000110010011100001111011110111000,+-----++--+--+++----++++-++++-+++---,0,True,"[[0.000101, 337.80526133], [0.010152, 317.98215812], [0.01313, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,36,-12.187547109385003,293.18593461165005,0.4,2,1.0222980976104736,0.01273798942565918,0.0,011111001101100011110000100001000111,-+++++--++-++---++++----+----+---+++,0,True,"[[9.9e-05, 337.80526133], [0.011015, 326.18329274], [0.012738, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,36,-7.794110626453984,293.18593461165005,0.5,2,1.139348030090332,0.08063721656799316,0.0,100000110010011100001111011110111000,+-----++--+--+++----++++-++++-+++---,0,True,"[[0.000102, 337.80526133], [0.011228, 321.97916943], [0.01426, 293.97675499], [0.080637, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,36,-3.949356085572992,293.18593461165005,0.7,2,3.757133960723877,0.06374883651733398,0.0,100000110010011100001111011110111000,+-----++--+--+++----++++-++++-+++---,0,True,"[[0.0001, 337.80526133], [0.011978, 337.51417358], [0.01316, 293.97675499], [0.063749, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,36,-3.2194197328899836,293.18593461165005,0.8,2,8.487513065338135,0.013961076736450195,0.0,011111001101100011110000100001000111,-+++++--++-++---++++----+----+---+++,0,True,"[[0.000106, 337.80526133], [0.011399, 337.24909419], [0.011993, 336.59098335], [0.012461, 334.68166094], [0.013961, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,36,-2.4068687736420014,293.18593461165005,1.0,2,10.359843015670776,5.7790751457214355,0.0,100000110010011100001111011110111000,+-----++--+--+++----++++-++++-+++---,0,True,"[[0.000103, 337.80526133], [0.012268, 334.10861291], [0.01296, 301.81123905], [0.045917, 293.97675499], [5.779075, 293.18593461]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,36,278.3422108002299,278.3422108002299,,2,20.629703998565674,11.236515045166016,0.0,111000110101011001101001010100010101,+++---++-+-+-++--++-+--+-+-+---+-+-+,0,True,"[[0.000104, 317.78001597], [0.008971, 308.68629088], [0.009874, 302.05525449], [0.010917, 282.27843339], [8.136957, 281.58930248], [9.037929, 279.9934693], [9.230305, 278.9492307], [11.236515, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,36,-17.623554652318997,278.3422108002299,0.2,2,3.06118106842041,0.10119009017944336,0.0,000111001010100110010110101011101010,---+++--+-+-+--++--+-++-+-+-+++-+-+-,0,True,"[[0.000108, 317.78001597], [0.011728, 316.6758304], [0.012636, 282.30414528], [0.097958, 282.27843339], [0.10119, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,36,-19.164947276284988,278.3422108002299,0.3,2,0.9576499462127686,0.8574690818786621,0.0,000111001010100110010110101011101010,---+++--+-+-+--++--+-++-+-+-+++-+-+-,0,True,"[[0.000109, 317.78001597], [0.010276, 314.56513007], [0.011229, 302.05525449], [0.012723, 282.27843339], [0.857469, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,36,-10.096836113963997,278.3422108002299,0.4,2,2.922234058380127,2.921475887298584,0.0,000111001010100110010110101011101010,---+++--+-+-+--++--+-++-+-+-+++-+-+-,0,True,"[[0.000103, 317.78001597], [0.012043, 303.07213486], [0.012525, 302.05525449], [0.013005, 299.18941379], [0.013913, 281.08606482], [2.572923, 280.43524802], [2.573101, 279.9934693], [2.789127, 278.3422108], [2.921476, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,36,-6.537729731913995,278.3422108002299,0.5,2,3.2890801429748535,3.2882370948791504,0.0,000111001010100110010110101011101010,---+++--+-+-+--++--+-++-+-+-+++-+-+-,0,True,"[[0.000107, 317.78001597], [0.01266, 293.58600758], [0.01371, 285.10944932], [0.080914, 282.27843339], [2.607579, 280.62068902], [2.607788, 279.9934693], [2.777118, 278.3422108], [3.288237, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,36,-3.5095140967800056,278.3422108002299,0.7,2,10.620261907577515,5.300894021987915,0.0,000111001010100110010110101011101010,---+++--+-+-+--++--+-++-+-+-+++-+-+-,0,True,"[[0.000111, 317.78001597], [0.012523, 306.51422862], [0.012994, 302.05525449], [0.014502, 282.27843339], [5.163034, 279.10291665], [5.300894, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,36,-2.8989026654329884,278.3422108002299,0.8,2,20.28779411315918,6.112629175186157,0.0,111000110101011001101001010100010101,+++---++-+-+-++--++-+--+-+-+---+-+-+,0,True,"[[0.000111, 317.78001597], [0.01428, 282.66248589], [0.056804, 282.27843339], [4.59287, 282.23714399], [5.246853, 281.69226882], [5.352613, 280.43524802], [6.112629, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,36,-2.2015480598590003,278.3422108002299,1.0,2,28.32629704475403,8.41781497001648,0.0,111000110101011001101001010100010101,+++---++-+-+-++--++-+--+-+-+---+-+-+,0,True,"[[0.000114, 317.78001597], [0.011765, 308.00548258], [0.012714, 284.80455901], [0.048684, 280.03014139], [6.512655, 279.10291665], [7.1184, 278.9492307], [8.417815, 278.3422108]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,36,284.1234435387819,284.1234435387825,,2,25.377532958984375,10.675368070602417,0.0,101100100011110011000100111110000011,+-++--+---++++--++---+--+++++-----++,0,True,"[[0.000107, 317.95009857], [0.01002, 287.13877778], [0.080051, 286.32269773], [1.148122, 286.07510572], [1.283959, 285.66856063], [7.601111, 284.73379911], [7.884506, 284.28255897], [10.675368, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,36,-17.891429587518,284.7803789684122,0.2,2,2.913973808288574,2.6852688789367676,0.0,101100000011110011100100101110000111,+-++------++++--+++--+--+-+++----+++,0,True,"[[0.000108, 317.95009857], [0.01054, 316.26338104], [0.011444, 317.18072431], [0.01273, 285.97361629], [0.103219, 286.62952423], [1.667181, 284.12344354], [2.685269, 284.78037897]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,36,-19.59925705276,284.1234435387825,0.3,2,1.1724848747253418,0.01190185546875,0.0,101100100011110011000100111110000011,+-++--+---++++--++---+--+++++-----++,0,True,"[[0.00011, 317.95009857], [0.010703, 309.24336531], [0.011902, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,36,-10.656238393037002,284.1234435387825,0.4,2,2.580264091491699,2.5794880390167236,0.0,010011011100001100111011000001111100,-+--++-+++----++--+++-++-----+++++--,0,True,"[[0.000103, 317.95009857], [0.011057, 316.01028164], [0.011923, 314.22560867], [0.012457, 307.86160671], [0.013663, 285.72157265], [2.297892, 284.12344354], [2.579488, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,36,-6.693815255954014,284.1234435387825,0.5,2,3.257341146469116,0.014472007751464844,0.0,101100100011110011000100111110000011,+-++--+---++++--++---+--+++++-----++,0,True,"[[0.000107, 317.95009857], [0.011921, 311.87887403], [0.012908, 311.88750063], [0.014472, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,36,-3.573882452764016,284.1234435387825,0.7,2,12.321830034255981,6.908707141876221,0.0,101100100011110011000100111110000011,+-++--+---++++--++---+--+++++-----++,0,True,"[[0.000113, 317.95009857], [0.011931, 316.23260978], [0.012677, 314.22560867], [0.013254, 311.85611768], [0.014637, 285.97361629], [5.927217, 285.72157265], [6.693146, 284.72626097], [6.908707, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,36,-2.946945738886006,284.1234435387825,0.8,2,21.66122317314148,0.015217065811157227,0.0,101100100011110011000100111110000011,+-++--+---++++--++---+--+++++-----++,0,True,"[[0.000108, 317.95009857], [0.012715, 309.1877962], [0.015217, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,36,-2.2333136350750067,284.1234435387825,1.0,2,23.686536073684692,7.58092999458313,0.0,010011011100001100111011000001111100,-+--++-+++----++--+++-++-----+++++--,0,True,"[[0.00011, 317.95009857], [0.01268, 311.12013268], [0.013418, 290.2437311], [0.048574, 287.23502999], [2.718749, 286.55080421], [3.683623, 285.85071838], [4.349358, 285.17950299], [6.39105, 284.78037897], [6.391251, 284.72626097], [7.58093, 284.12344354]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,36,270.4404069444773,270.44040694447693,,2,10.93400502204895,0.0842278003692627,0.0,010000111011010111000101010011001101,-+----+++-++-+-+++---+-+-+--++--++-+,0,True,"[[0.000109, 329.82757228], [0.010426, 277.30485412], [0.084228, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,36,-22.476586246967997,270.44040694447693,0.2,2,1.0152649879455566,0.014770984649658203,0.0,010000111011010111000101010011001101,-+----+++-++-+-+++---+-+-+--++--++-+,0,True,"[[0.00011, 329.82757228], [0.012531, 324.98064543], [0.013165, 327.51112958], [0.014771, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,36,-22.993704647265023,270.44040694447693,0.3,2,0.4414191246032715,0.01196599006652832,0.0,101111000100101000111010101100110010,+-++++---+--+-+---+++-+-+-++--++--+-,0,True,"[[0.000104, 329.82757228], [0.010828, 321.67932488], [0.011966, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,36,-11.538954900518977,270.44040694447693,0.4,2,0.7084009647369385,0.014108896255493164,0.0,010000111011010111000101010011001101,-+----+++-++-+-+++---+-+-+--++--++-+,0,True,"[[0.000104, 329.82757228], [0.010792, 314.14188424], [0.01234, 309.76166205], [0.014109, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,36,-7.374725765271993,270.44040694447693,0.5,2,0.9843621253967285,0.014369964599609375,0.0,101111000100101000111010101100110010,+-++++---+--+-+---+++-+-+-++--++--+-,0,True,"[[0.000102, 329.82757228], [0.011632, 304.82403998], [0.01437, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,36,-3.946961299298989,270.44040694447693,0.7,2,4.582334041595459,0.01346898078918457,0.0,010000111011010111000101010011001101,-+----+++-++-+-+++---+-+-+--++--++-+,0,True,"[[0.000105, 329.82757228], [0.012512, 299.23646828], [0.013469, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,36,-3.2525798976309908,270.44040694447693,0.8,2,8.055644989013672,3.550258159637451,0.0,010000111011010111000101010011001101,-+----+++-++-+-+++---+-+-+--++--++-+,0,True,"[[0.000106, 329.82757228], [0.011834, 314.77949161], [0.013511, 289.84165297], [0.014656, 272.19523223], [3.550258, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,36,-2.4574369927070165,270.44040694447693,1.0,2,9.27939486503601,3.427341938018799,0.0,010000111011010111000101010011001101,-+----+++-++-+-+++---+-+-+--++--++-+,0,True,"[[0.000107, 329.82757228], [0.011435, 301.91358479], [0.012375, 272.19523223], [3.427342, 270.44040694]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,36,295.0393213755353,295.03932137553454,,2,15.62777590751648,0.08436894416809082,0.0,111100011000010101000101101011101100,++++---++----+-+-+---+-++-+-+++-++--,0,True,"[[0.000107, 344.13199206], [0.008455, 342.26024657], [0.00945, 340.83879864], [0.010691, 304.81226627], [0.084369, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,36,-17.82793837176496,295.03932137553454,0.2,2,4.7746970653533936,0.01399087905883789,0.0,000011100111101010111010010100010011,----+++--++++-+-+-+++-+--+-+---+--++,0,True,"[[0.000108, 344.13199206], [0.010977, 330.17644696], [0.013991, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,36,-20.926666164557993,295.03932137553454,0.3,2,0.5863749980926514,0.08851814270019531,0.0,111100011000010101000101101011101100,++++---++----+-+-+---+-++-+-+++-++--,0,True,"[[0.000108, 344.13199206], [0.010353, 336.35115039], [0.011961, 334.5400381], [0.012747, 301.40140315], [0.088518, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,36,-11.87171268436898,295.03932137553454,0.4,2,1.2777550220489502,1.2771058082580566,0.0,000011100111101010111010010100010011,----+++--++++-+-+-+++-+--+-+---+--++,0,True,"[[0.000109, 344.13199206], [0.01064, 331.15243681], [0.013354, 302.16519287], [0.089361, 300.93960417], [1.276712, 295.03932138], [1.277106, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,36,-7.387990885775,295.03932137553454,0.5,2,2.1488168239593506,0.01394200325012207,0.0,111100011000010101000101101011101100,++++---++----+-+-+---+-++-+-+++-++--,0,True,"[[0.000105, 344.13199206], [0.011199, 330.78273509], [0.013942, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,36,-3.824297618220994,295.03932137553454,0.7,2,5.825728893280029,0.014874935150146484,0.0,000011100111101010111010010100010011,----+++--++++-+-+-+++-+--+-+---+--++,0,True,"[[0.000106, 344.13199206], [0.011471, 340.98667642], [0.013035, 340.19335316], [0.013521, 333.72872665], [0.014875, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,36,-3.1311474325450117,295.03932137553454,0.8,2,12.496078968048096,0.055976152420043945,0.0,000011100111101010111010010100010011,----+++--++++-+-+-+++-+--+-+---+--++,0,True,"[[0.000107, 344.13199206], [0.011491, 327.19630923], [0.012068, 301.40140315], [0.055976, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,36,-2.3518441019790117,295.03932137553454,1.0,2,14.679465055465698,4.111035108566284,0.0,111100011000010101000101101011101100,++++---++----+-+-+---+-++-+-+++-++--,0,True,"[[0.000108, 344.13199206], [0.012264, 341.2910542], [0.012949, 301.40140315], [3.369022, 301.0439107], [3.590816, 300.746138], [4.111035, 295.03932138]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,36,274.53520230927944,274.53520230928007,,2,40.10301494598389,1.4908428192138672,0.0,000011111000111001000110100001011111,----+++++---+++--+---++-+----+-+++++,0,True,"[[0.000111, 315.82532969], [0.009067, 299.52134821], [0.011409, 275.29210865], [0.081524, 274.53638659], [1.490843, 274.53520231]]",5,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,36,-15.944635960299998,275.2425310691274,0.2,2,3.7019550800323486,0.10032010078430176,0.0,111101000101000111101001011110100000,++++-+---+-+---++++-+--+-++++-+-----,0,True,"[[0.00011, 315.82532969], [0.012123, 309.61950316], [0.013914, 304.25530973], [0.016014, 276.33417141], [0.10032, 275.24253107]]",5,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,36,-16.82878612700698,274.5363865873019,0.3,2,1.8617501258850098,1.6765191555023193,0.0,000010111010011000011110100001011111,----+-+++-+--++----++++-+----+-+++++,0,True,"[[0.000107, 315.82532969], [0.011256, 303.06580563], [0.013194, 299.19621178], [0.014347, 276.65178018], [0.089412, 276.4549716], [1.676519, 274.53638659]]",5,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,36,-8.937276560837994,274.5363865873019,0.4,2,3.8186631202697754,0.08019208908081055,0.0,000010111010011000011110100001011111,----+-+++-+--++----++++-+----+-+++++,0,True,"[[0.000115, 315.82532969], [0.01314, 298.15873439], [0.017577, 275.36575284], [0.080192, 274.53638659]]",5,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
