name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,40,368.63177324372435,368.63177324372424,,2,10319.442533016205,0.01635885238647461,0.0,0011101000011110100011111101010010010001,--+++-+----++++-+---++++++-+-+--+--+---+,0,False,"[[0.000139, 425.7866819], [0.016359, 368.63177324]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,40,-20.122742970604996,369.01132702954425,0.3,2,2.3126962184906006,0.014828205108642578,0.0,1100010111100001011100000010001101101111,++---+-++++----+-+++------+---++-++-++++,0,False,"[[0.00013, 425.7866819], [0.011627, 396.33512982], [0.014828, 369.01132703]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,40,-7.280571887736993,369.01132702954425,0.5,2,8.74369502067566,0.09919285774230957,0.0,1100010111100001011100000010001101101111,++---+-++++----+-+++------+---++-++-++++,0,False,"[[0.000112, 425.7866819], [0.011637, 422.09187864], [0.013241, 421.27360776], [0.013775, 412.95699278], [0.015287, 371.24584477], [0.099193, 369.01132703]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,40,-3.7313600025909732,368.63177324372424,0.7,2,40.50706601142883,9.537038087844849,0.0,0011101000011110100011111101010010010001,--+++-+----++++-+---++++++-+-+--+--+---+,0,False,"[[0.000118, 425.7866819], [0.011762, 410.96629423], [0.013348, 408.82543555], [0.01504, 370.99175349], [6.033131, 370.71902979], [9.245269, 370.00000467], [9.537038, 368.63177324]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,40,-3.0517667380080002,368.63177324372424,0.8,2,79.35405707359314,0.015670061111450195,0.0,1100010111100001011100000010101101101110,++---+-++++----+-+++------+-+-++-++-+++-,0,False,"[[0.000132, 425.7866819], [0.012345, 402.07258236], [0.013858, 395.11433678], [0.01567, 368.63177324]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,40,-2.2900453897560045,368.63177324372424,1.0,2,90.49548482894897,0.01325082778930664,0.0,0011101000011110100011111101010010010001,--+++-+----++++-+---++++++-+-+--+--+---+,0,False,"[[0.000124, 425.7866819], [0.010051, 406.03779064], [0.011444, 397.5133806], [0.013251, 368.63177324]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,40,350.3507169280868,350.35071692808685,,2,4444.417702913284,4444.416553974152,0.0,1010010101111011110000010000111100101001,+-+--+-+-++++-++++-----+----++++--+-+--+,0,False,"[[0.000114, 408.15752692], [0.008803, 404.83630669], [0.009286, 394.31387368], [0.011194, 356.64242362], [0.101244, 353.60526648], [150.867275, 352.99852387], [150.867552, 351.28003689], [161.872178, 350.96648031], [2134.693516, 350.78488556], [2135.599306, 350.35071693], [4444.416554, 350.35071693]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,40,-22.251833900869002,350.9664803085369,0.3,2,1.48893404006958,1.4883849620819092,0.0,0001001011111100011101100010100101010110,---+--+-++++++---+++-++---+-+--+-+-+-++-,0,False,"[[0.00012, 408.15752692], [0.011264, 392.17092185], [0.012548, 394.31387368], [0.013111, 385.84256512], [0.014663, 350.35071693], [1.248981, 350.96648031], [1.488385, 350.96648031]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,40,-7.433707226771,350.35071692808685,0.5,2,6.037168025970459,6.036349058151245,0.0,1010010101111011110000010000111100101001,+-+--+-+-++++-++++-----+----++++--+-+--+,0,False,"[[0.000107, 408.15752692], [0.013051, 397.95293607], [0.013583, 394.31387368], [0.014121, 390.79408985], [0.015297, 358.20352231], [3.49531, 357.16791713], [3.678067, 354.66237591], [3.865895, 351.59672026], [4.314526, 351.8443964], [4.3147, 350.96648031], [4.314907, 350.35071693], [6.036349, 350.35071693]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,40,-3.946879154722989,350.35071692808685,0.7,2,19.4704430103302,0.08280014991760254,0.0,0101101010000100001111101111000011010110,-+-++-+-+----+----+++++-++++----++-+-++-,0,False,"[[0.000112, 408.15752692], [0.012723, 384.66466055], [0.016016, 358.70170653], [0.0828, 350.35071693]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,40,-3.2452655854830255,350.35071692808685,0.8,2,57.803937911987305,0.015375852584838867,0.0,0101101010000100001111101111000011010110,-+-++-+-+----+----+++++-++++----++-+-++-,0,False,"[[0.00012, 408.15752692], [0.012197, 379.76865138], [0.015376, 350.35071693]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,40,-2.4445691667620046,350.35071692808685,1.0,2,68.89371085166931,41.565762996673584,0.0,1010010101111011110000010000111100101001,+-+--+-+-++++-++++-----+----++++--+-+--+,0,False,"[[0.000113, 408.15752692], [0.012414, 394.32192812], [0.013926, 351.59672026], [7.469086, 350.96648031], [41.565763, 350.35071693]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,40,347.7673851667396,347.7673851667394,,2,7509.380417108536,7509.379182100296,0.0,1000111001111110000001010010110010111010,+---+++--++++++------+-+--+-++--+-+++-+-,0,False,"[[0.00011, 397.49754535], [0.010904, 353.55955384], [0.098957, 348.19209686], [2566.933315, 347.76738517], [7509.379182, 347.76738517]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,40,-21.228610023002005,347.7673851667394,0.3,2,1.9149329662322998,0.015045166015625,0.0,0111000110000001111110101101001101000101,-+++---++------++++++-+-++-+--++-+---+-+,0,False,"[[0.000111, 397.49754535], [0.01153, 375.95124198], [0.015045, 347.76738517]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,40,-7.238110948512995,347.7673851667394,0.5,2,6.668139219284058,6.667268991470337,0.0,0111000110000001111110101101001101000101,-+++---++------++++++-+-++-+--++-+---+-+,0,False,"[[0.000106, 397.49754535], [0.011366, 373.55818379], [0.014851, 348.19209686], [5.967238, 347.76738517], [6.667269, 347.76738517]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,40,-3.8460077988330053,347.7673851667394,0.7,2,28.04744291305542,0.015657901763916016,0.0,0111000110000001111110101101001101000101,-+++---++------++++++-+-++-+--++-+---+-+,0,False,"[[0.000111, 397.49754535], [0.012455, 391.65430084], [0.013228, 390.99693074], [0.013766, 385.61230547], [0.015658, 347.76738517]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,40,-3.1633411422220004,347.7673851667394,0.8,2,72.31080389022827,0.07383990287780762,0.0,0111000110000001111110101101001101000101,-+++---++------++++++-+-++-+--++-+---+-+,0,False,"[[0.000115, 397.49754535], [0.012549, 382.6569508], [0.015718, 356.277473], [0.07384, 347.76738517]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,40,-2.3853659248639882,347.7673851667394,1.0,2,88.07119107246399,88.07025694847107,0.0,1000111001111110000001010010110010111010,+---+++--++++++------+-+--+-++--+-+++-+-,0,False,"[[0.000112, 397.49754535], [0.010485, 396.78193172], [0.011708, 353.24105318], [0.065254, 348.36795203], [9.654778, 347.76738517], [88.070257, 347.76738517]]",2,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,40,341.70640443785766,341.70640443785715,,2,6358.989572048187,92.47477507591248,0.0,0111100001110100010110010010010101111010,-++++----+++-+---+-++--+--+--+-+-++++-+-,0,False,"[[0.000126, 394.72736421], [0.008916, 394.20906072], [0.009475, 386.30334145], [0.010943, 345.48186673], [0.100578, 343.98311698], [92.474775, 341.70640444]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,40,-21.723352276690996,341.70640443785715,0.3,2,1.6066110134124756,0.11176300048828125,0.0,1000011110001011101001101101101010000101,+----++++---+-+++-+--++-++-++-+-+----+-+,0,False,"[[0.000111, 394.72736421], [0.01167, 380.96211343], [0.013079, 377.07945607], [0.01536, 344.4450992], [0.111763, 341.70640444]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,40,-7.148529490836005,341.70640443785715,0.5,2,6.432003974914551,6.431202173233032,0.0,0111100001110100010110010010010101111010,-++++----+++-+---+-++--+--+--+-+-++++-+-,0,False,"[[0.000113, 394.72736421], [0.013054, 381.29275078], [0.014292, 381.34360988], [0.015043, 380.36576358], [0.017692, 344.32668543], [4.127671, 341.70640444], [6.431202, 341.70640444]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,40,-3.849928475175995,341.70640443785715,0.7,2,29.2538161277771,0.08577799797058105,0.0,1000011110001011101001101101101010000101,+----++++---+-+++-+--++-++-++-+-+----+-+,0,False,"[[0.000107, 394.72736421], [0.014171, 379.3962126], [0.015336, 377.07945607], [0.017657, 345.48186673], [0.085778, 341.70640444]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,40,-3.1757559964359974,341.70640443785715,0.8,2,71.45528197288513,0.015076875686645508,0.0,1000011110001011101001101101101010000101,+----++++---+-+++-+--++-++-++-+-+----+-+,0,False,"[[0.000116, 394.72736421], [0.01223, 391.23750977], [0.012758, 386.30334145], [0.013349, 385.37313808], [0.015077, 341.70640444]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,40,-2.4011374108999863,341.70640443785715,1.0,2,66.05482196807861,43.06844997406006,0.0,0111100001110100010110010010010101111010,-++++----+++-+---+-++--+--+--+-+-++++-+-,0,False,"[[0.000126, 394.72736421], [0.011977, 394.47586396], [0.013102, 345.48186673], [36.405372, 344.86926038], [40.948596, 344.32668543], [41.712374, 344.38349133], [41.712634, 342.96596166], [43.06845, 341.70640444]]",3,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,40,361.1915394130157,361.1915394130158,,2,4608.664568901062,0.0982508659362793,0.0,0000101111010110111100000011010101100101,----+-++++-+-++-++++------++-+-+-++--+-+,0,False,"[[0.000115, 423.06382331], [0.009738, 420.67152924], [0.01091, 366.02548302], [0.098251, 361.19153941]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,40,-24.558811711439013,361.1915394130158,0.3,2,1.3662569522857666,0.11054110527038574,0.0,1111010000101001000011111100101010011010,++++-+----+-+--+----++++++--+-+-+--++-+-,0,False,"[[0.000121, 423.06382331], [0.011386, 397.18166024], [0.015327, 363.55046713], [0.110541, 361.19153941]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,40,-8.32801908198799,361.1915394130158,0.5,2,2.6503918170928955,0.09798789024353027,0.0,1111010000101001000011111100101010011010,++++-+----+-+--+----++++++--+-+-+--++-+-,0,False,"[[0.000115, 423.06382331], [0.012608, 408.97203057], [0.014662, 410.58881995], [0.016154, 362.73343834], [0.097988, 361.19153941]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,40,-4.276042186053996,361.1915394130158,0.7,2,11.877532005310059,11.875914096832275,0.0,1111010000101001000011111100101010011010,++++-+----+-+--+----++++++--+-+-+--++-+-,0,False,"[[0.000127, 423.06382331], [0.012825, 402.47374819], [0.013965, 366.02548302], [0.083943, 362.18858627], [4.61577, 361.19153941], [11.875914, 361.19153941]]",4,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
