name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,layers,preconditioner_family
precond_p=inf,40,-780.0,368.63177324372424,0.0,2,0.004776954650878906,0.0036880970001220703,0.0,1100010111100001011100000010101101101110,++---+-++++----+-+++------+-+-++-++-+++-,0,False,"[[3.3e-05, 425.7866819], [0.003688, 368.63177324]]",0,inf,quantum
precond_p=inf,40,-780.0,350.35071692808685,0.0,2,0.004400014877319336,0.0035750865936279297,0.0,1010010101111011110000010000111100101001,+-+--+-+-++++-++++-----+----++++--+-+--+,0,False,"[[3.2e-05, 408.15752692], [0.003575, 350.35071693]]",1,inf,quantum
precond_p=inf,40,-780.0,347.7673851667394,0.0,2,0.004847049713134766,0.0036041736602783203,0.0,1000111001111110000001010010110010111010,+---+++--++++++------+-+--+-++--+-+++-+-,0,False,"[[3.3e-05, 397.49754535], [0.003604, 347.76738517]]",2,inf,quantum
precond_p=inf,40,-780.0,341.70640443785715,0.0,2,0.004320859909057617,0.003525972366333008,0.0,1000011110001011101001101101101010000101,+----++++---+-+++-+--++-++-++-+-+----+-+,0,False,"[[3.2e-05, 394.72736421], [0.003526, 341.70640444]]",3,inf,quantum
precond_p=inf,40,-780.0,361.1915394130158,0.0,2,0.004621982574462891,0.0035829544067382812,0.0,1111010000101001000011111100101010011010,++++-+----+-+--+----++++++--+-+-+--++-+-,0,False,"[[3.3e-05, 423.06382331], [0.003583, 361.19153941]]",4,inf,quantum
precond_p=inf,40,-780.0,338.3808079459339,0.0,2,0.004693031311035156,0.003504037857055664,0.0,1111101100101100101000000011110111000100,+++++-++--+-++--+-+-------++++-+++---+--,0,False,"[[3.2e-05, 368.57793674], [0.003504, 338.38080795]]",5,inf,quantum
precond_p=inf,40,-780.0,357.41719624823963,0.0,2,0.004470109939575195,0.003665924072265625,0.0,1101000011010011100100111001101010010101,++-+----++-+--+++--+--+++--++-+-+--+-+-+,0,False,"[[3.3e-05, 406.99585347], [0.003666, 357.41719625]]",6,inf,quantum
precond_p=inf,40,-780.0,347.84140469864894,0.0,2,0.004253864288330078,0.0035288333892822266,0.0,1101011010001010111011011000010110110000,++-+-++-+---+-+-+++-++-++----+-++-++----,0,False,"[[3.2e-05, 411.24819091], [0.003529, 347.8414047]]",7,inf,quantum
precond_p=inf,40,-780.0,344.0738803874768,0.0,2,0.004287004470825195,0.003448963165283203,0.0,1101110000001110110011000100011110100011,++-+++------+++-++--++---+---++++-+---++,0,False,"[[3.2e-05, 382.12777273], [0.003449, 344.07388039]]",8,inf,quantum
precond_p=inf,40,-780.0,351.6672571678007,0.0,2,0.004602193832397461,0.003545999526977539,0.0,1100011110000011100001111101111010100000,++---++++-----+++----+++++-++++-+-+-----,0,False,"[[3.3e-05, 397.23338564], [0.003546, 351.66725717]]",9,inf,quantum
