seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,1000,classical,baseline,,False,0,0.000175,16.2904225,16.2904225
0,,1000,classical,baseline,,False,1,0.018843,13.45806172,13.45806172
0,,1000,classical,precond_pen=0.000,0.0,False,0,5.9e-05,16.2904225,16.2904225
0,,1000,classical,precond_pen=0.200,0.2,False,0,6.1e-05,16.2904225,16.2904225
0,,1000,classical,precond_pen=0.400,0.4,False,0,8.7e-05,16.2904225,16.2904225
0,,1000,classical,precond_pen=0.600,0.6,False,0,7.7e-05,16.2904225,16.2904225
0,,1000,classical,precond_pen=0.800,0.8,False,0,6.4e-05,16.2904225,16.2904225
0,,1000,classical,precond_pen=1.000,1.0,False,0,7.5e-05,16.2904225,16.2904225
1,,1000,classical,baseline,,False,0,6.6e-05,13.90169322,13.90169322
1,,1000,classical,baseline,,False,1,0.002944,12.60301525,12.60301525
1,,1000,classical,precond_pen=0.000,0.0,False,0,6.3e-05,13.90169322,13.90169322
1,,1000,classical,precond_pen=0.200,0.2,False,0,8e-05,13.90169322,13.90169322
1,,1000,classical,precond_pen=0.400,0.4,False,0,7.2e-05,13.90169322,13.90169322
1,,1000,classical,precond_pen=0.600,0.6,False,0,7.1e-05,13.90169322,13.90169322
1,,1000,classical,precond_pen=0.800,0.8,False,0,0.000103,13.90169322,13.90169322
1,,1000,classical,precond_pen=1.000,1.0,False,0,6.7e-05,13.90169322,13.90169322
2,,1000,classical,baseline,,False,0,6.6e-05,15.10648738,15.10648738
2,,1000,classical,baseline,,False,1,0.002142,13.68844977,13.68844977
2,,1000,classical,precond_pen=0.000,0.0,False,0,7.3e-05,15.10648738,15.10648738
2,,1000,classical,precond_pen=0.200,0.2,False,0,8.1e-05,15.10648738,15.10648738
2,,1000,classical,precond_pen=0.400,0.4,False,0,7.8e-05,15.10648738,15.10648738
2,,1000,classical,precond_pen=0.600,0.6,False,0,7e-05,15.10648738,15.10648738
2,,1000,classical,precond_pen=0.800,0.8,False,0,8.4e-05,15.10648738,15.10648738
2,,1000,classical,precond_pen=1.000,1.0,False,0,7.9e-05,15.10648738,15.10648738
3,,1000,classical,baseline,,False,0,7.8e-05,15.26295569,15.26295569
3,,1000,classical,baseline,,False,1,0.01532,15.12432008,15.12432008
3,,1000,classical,baseline,,False,2,0.015431,12.50592149,12.50592149
3,,1000,classical,precond_pen=0.000,0.0,False,0,8.1e-05,15.26295569,15.26295569
3,,1000,classical,precond_pen=0.200,0.2,False,0,8.3e-05,15.26295569,15.26295569
3,,1000,classical,precond_pen=0.400,0.4,False,0,7.8e-05,15.26295569,15.26295569
3,,1000,classical,precond_pen=0.600,0.6,False,0,8e-05,15.26295569,15.26295569
3,,1000,classical,precond_pen=0.800,0.8,False,0,7.8e-05,15.26295569,15.26295569
3,,1000,classical,precond_pen=1.000,1.0,False,0,6.8e-05,15.26295569,15.26295569
4,,1000,classical,baseline,,False,0,9e-05,19.81287321,19.81287321
4,,1000,classical,baseline,,False,1,0.013739,16.08041469,16.08041469
4,,1000,classical,precond_pen=0.000,0.0,False,0,6.1e-05,19.81287321,19.81287321
4,,1000,classical,precond_pen=0.200,0.2,False,0,8.5e-05,19.81287321,19.81287321
4,,1000,classical,precond_pen=0.400,0.4,False,0,5.9e-05,19.81287321,19.81287321
4,,1000,classical,precond_pen=0.600,0.6,False,0,5.9e-05,19.81287321,19.81287321
4,,1000,classical,precond_pen=0.800,0.8,False,0,7.9e-05,19.81287321,19.81287321
