name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,8,13.458061722447997,13.458061722448,,2,0.06090903282165527,0.02705693244934082,0.0,01111000,-++++---,0,True,"[[0.00016, 16.2904225], [0.027057, 13.45806172]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,16.290422502908,0.0,2,0.012651205062866211,6.914138793945312e-05,0.0,11110000,++++----,0,True,"[[6.9e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,16.290422502908,0.2,2,0.028802871704101562,6.198883056640625e-05,0.0,11110000,++++----,0,True,"[[6.2e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,2.0,16.290422502908,0.4,2,0.03681302070617676,6.389617919921875e-05,0.0,11110000,++++----,0,True,"[[6.4e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,2.0,16.290422502908,0.6,2,0.04025101661682129,5.91278076171875e-05,0.0,11110000,++++----,0,True,"[[5.9e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,2.0,16.290422502908,0.8,2,0.05082416534423828,7.605552673339844e-05,0.0,11110000,++++----,0,True,"[[7.6e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,2.0,16.290422502908,1.0,2,0.06676602363586426,0.00011396408081054688,0.0,11110000,++++----,0,True,"[[0.000114, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,12.603015254315002,12.603015254314998,,2,0.05688214302062988,0.028855085372924805,0.0,01010110,-+-+-++-,0,True,"[[7.9e-05, 13.90169322], [0.028855, 12.60301525]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,13.901693215555,0.0,2,0.026456117630004883,6.222724914550781e-05,0.0,11110000,++++----,0,True,"[[6.2e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,13.901693215555,0.2,2,0.031206846237182617,8.20159912109375e-05,0.0,11110000,++++----,0,True,"[[8.2e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
