seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,1,,quantum,baseline,,True,0,0.018345,16.2904225,16.2904225
0,1,,quantum,baseline,,True,1,0.164806,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.000,0.0,True,0,0.022672,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.000,0.0,True,1,0.193746,16.29948472,16.2904225
0,1,,quantum,precond_pen=0.000,0.0,True,2,0.195724,13.66466825,13.66466825
0,1,,quantum,precond_pen=0.200,0.2,True,0,0.02043,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.200,0.2,True,1,0.201405,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.200,0.2,True,2,0.20377,13.66466825,13.45806172
0,1,,quantum,precond_pen=0.300,0.3,True,0,0.021277,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.300,0.3,True,1,0.170784,15.88880197,15.88880197
0,1,,quantum,precond_pen=0.300,0.3,True,2,0.173048,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.400,0.4,True,0,0.016901,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.400,0.4,True,1,0.159218,15.88880197,15.88880197
0,1,,quantum,precond_pen=0.400,0.4,True,2,0.161802,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.500,0.5,True,0,0.017801,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.500,0.5,True,1,0.153917,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.600,0.6,True,0,0.019106,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.600,0.6,True,1,0.184513,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.700,0.7,True,0,0.016129,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.700,0.7,True,1,0.147837,15.80151115,15.80151115
0,1,,quantum,precond_pen=0.700,0.7,True,2,0.15006,13.45806172,13.45806172
0,1,,quantum,precond_pen=0.800,0.8,True,0,0.026394,16.2904225,16.2904225
0,1,,quantum,precond_pen=0.800,0.8,True,1,0.16335,15.80151115,15.80151115
0,1,,quantum,precond_pen=0.800,0.8,True,2,0.166079,13.45806172,13.45806172
0,1,,quantum,precond_pen=1.000,1.0,True,0,0.023061,16.2904225,16.2904225
0,1,,quantum,precond_pen=1.000,1.0,True,1,0.170455,15.80151115,15.80151115
0,1,,quantum,precond_pen=1.000,1.0,True,2,0.172853,13.45806172,13.45806172
1,1,,quantum,baseline,,True,0,0.013944,13.90169322,13.90169322
1,1,,quantum,baseline,,True,1,0.159664,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.000,0.0,True,0,0.01689,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.000,0.0,True,1,0.159293,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.200,0.2,True,0,0.019347,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.200,0.2,True,1,0.210687,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.300,0.3,True,0,0.023371,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.300,0.3,True,1,0.16415,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.400,0.4,True,0,0.024086,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.400,0.4,True,1,0.154846,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.500,0.5,True,0,0.019117,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.500,0.5,True,1,0.152268,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.600,0.6,True,0,0.019014,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.600,0.6,True,1,0.182961,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.700,0.7,True,0,0.023608,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.700,0.7,True,1,0.161114,12.60301525,12.60301525
1,1,,quantum,precond_pen=0.800,0.8,True,0,0.017484,13.90169322,13.90169322
1,1,,quantum,precond_pen=0.800,0.8,True,1,0.150932,12.60301525,12.60301525
1,1,,quantum,precond_pen=1.000,1.0,True,0,0.023432,13.90169322,13.90169322
1,1,,quantum,precond_pen=1.000,1.0,True,1,0.150357,12.60301525,12.60301525
2,1,,quantum,baseline,,True,0,0.016625,15.10648738,15.10648738
2,1,,quantum,baseline,,True,1,0.146134,13.68844977,13.68844977
2,1,,quantum,precond_pen=0.000,0.0,True,0,0.02085,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.000,0.0,True,1,0.158032,13.75198867,13.75198867
2,1,,quantum,precond_pen=0.200,0.2,True,0,0.018359,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.200,0.2,True,1,0.16064,13.75198867,13.75198867
2,1,,quantum,precond_pen=0.300,0.3,True,0,0.02327,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.300,0.3,True,1,0.149543,13.80798245,13.80798245
2,1,,quantum,precond_pen=0.400,0.4,True,0,0.017904,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.400,0.4,True,1,0.155164,13.75198867,13.75198867
2,1,,quantum,precond_pen=0.400,0.4,True,2,0.157536,13.80798245,13.75198867
2,1,,quantum,precond_pen=0.500,0.5,True,0,0.016501,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.500,0.5,True,1,0.147295,13.75198867,13.75198867
2,1,,quantum,precond_pen=0.500,0.5,True,2,0.150953,13.80798245,13.75198867
2,1,,quantum,precond_pen=0.600,0.6,True,0,0.024457,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.600,0.6,True,1,0.159499,14.87922149,14.87922149
2,1,,quantum,precond_pen=0.600,0.6,True,2,0.161595,13.80798245,13.80798245
2,1,,quantum,precond_pen=0.700,0.7,True,0,0.027356,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.700,0.7,True,1,0.161822,14.87922149,14.87922149
2,1,,quantum,precond_pen=0.700,0.7,True,2,0.163637,13.68844977,13.68844977
2,1,,quantum,precond_pen=0.700,0.7,True,3,0.166164,13.80798245,13.68844977
2,1,,quantum,precond_pen=0.800,0.8,True,0,0.024582,15.10648738,15.10648738
2,1,,quantum,precond_pen=0.800,0.8,True,1,0.138223,14.87922149,14.87922149
2,1,,quantum,precond_pen=0.800,0.8,True,2,0.13894,13.68844977,13.68844977
2,1,,quantum,precond_pen=0.800,0.8,True,3,0.140213,13.80798245,13.68844977
3,1,,quantum,baseline,,True,0,0.015679,15.26295569,15.26295569
3,1,,quantum,baseline,,True,1,0.157761,15.12432008,15.12432008
3,1,,quantum,baseline,,True,2,0.159762,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.000,0.0,True,0,0.022127,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.000,0.0,True,1,0.139862,15.99242284,15.26295569
3,1,,quantum,precond_pen=0.000,0.0,True,2,0.140522,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.200,0.2,True,0,0.023048,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.200,0.2,True,1,0.152853,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.300,0.3,True,0,0.018482,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.300,0.3,True,1,0.171095,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.400,0.4,True,0,0.02047,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.400,0.4,True,1,0.159764,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.500,0.5,True,0,0.012825,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.500,0.5,True,1,0.143793,15.2500833,15.2500833
3,1,,quantum,precond_pen=0.500,0.5,True,2,0.18058,13.98648467,13.98648467
3,1,,quantum,precond_pen=0.500,0.5,True,3,0.21762,13.67571691,13.67571691
3,1,,quantum,precond_pen=0.500,0.5,True,4,0.221501,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.600,0.6,True,0,0.016157,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.600,0.6,True,1,0.163445,14.56692067,14.56692067
3,1,,quantum,precond_pen=0.600,0.6,True,2,0.165896,13.98648467,13.98648467
3,1,,quantum,precond_pen=0.600,0.6,True,3,0.168083,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.700,0.7,True,0,0.01687,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.700,0.7,True,1,0.152113,14.56692067,14.56692067
3,1,,quantum,precond_pen=0.700,0.7,True,2,0.154581,13.98648467,13.98648467
3,1,,quantum,precond_pen=0.700,0.7,True,3,0.156548,12.50592149,12.50592149
3,1,,quantum,precond_pen=0.800,0.8,True,0,0.010843,15.26295569,15.26295569
3,1,,quantum,precond_pen=0.800,0.8,True,1,0.13562,14.56692067,14.56692067
3,1,,quantum,precond_pen=0.800,0.8,True,2,0.137582,13.98648467,13.98648467
3,1,,quantum,precond_pen=0.800,0.8,True,3,0.139425,12.50592149,12.50592149
4,1,,quantum,baseline,,True,0,0.017844,19.81287321,19.81287321
4,1,,quantum,baseline,,True,1,0.154398,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.000,0.0,True,0,0.015426,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.000,0.0,True,1,0.136098,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.200,0.2,True,0,0.01586,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.200,0.2,True,1,0.135642,18.04084029,18.04084029
4,1,,quantum,precond_pen=0.200,0.2,True,2,0.137913,16.77060863,16.77060863
4,1,,quantum,precond_pen=0.200,0.2,True,3,0.140009,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.300,0.3,True,0,0.024976,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.300,0.3,True,1,0.172033,16.77060863,16.77060863
4,1,,quantum,precond_pen=0.300,0.3,True,2,0.174426,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.400,0.4,True,0,0.030253,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.400,0.4,True,1,0.171496,18.04084029,18.04084029
4,1,,quantum,precond_pen=0.400,0.4,True,2,0.209023,16.77060863,16.77060863
4,1,,quantum,precond_pen=0.400,0.4,True,3,0.211647,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.500,0.5,True,0,0.024764,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.500,0.5,True,1,0.181119,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.600,0.6,True,0,0.023528,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.600,0.6,True,1,0.158195,16.77060863,16.77060863
4,1,,quantum,precond_pen=0.600,0.6,True,2,0.160918,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.700,0.7,True,0,0.019907,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.700,0.7,True,1,0.16783,19.67763949,19.67763949
4,1,,quantum,precond_pen=0.700,0.7,True,2,0.205189,18.25085307,18.25085307
4,1,,quantum,precond_pen=0.700,0.7,True,3,0.245813,16.08041469,16.08041469
4,1,,quantum,precond_pen=0.800,0.8,True,0,0.020327,19.81287321,19.81287321
4,1,,quantum,precond_pen=0.800,0.8,True,1,0.160594,19.67763949,19.67763949
4,1,,quantum,precond_pen=0.800,0.8,True,2,0.196733,18.25085307,18.25085307
4,1,,quantum,precond_pen=0.800,0.8,True,3,0.233429,16.08041469,16.08041469
5,1,,quantum,baseline,,True,0,0.014643,15.28890653,15.28890653
5,1,,quantum,baseline,,True,1,0.135337,13.91075566,13.91075566
5,1,,quantum,precond_pen=0.000,0.0,True,0,0.017568,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.000,0.0,True,1,0.136251,13.96908206,13.96908206
5,1,,quantum,precond_pen=0.200,0.2,True,0,0.014515,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.200,0.2,True,1,0.149029,13.96908206,13.96908206
5,1,,quantum,precond_pen=0.300,0.3,True,0,0.016197,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.300,0.3,True,1,0.128388,14.80715403,14.80715403
5,1,,quantum,precond_pen=0.300,0.3,True,2,0.166684,14.39760561,14.39760561
5,1,,quantum,precond_pen=0.300,0.3,True,3,0.169006,13.96908206,13.96908206
5,1,,quantum,precond_pen=0.400,0.4,True,0,0.021991,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.400,0.4,True,1,0.198543,14.80715403,14.80715403
5,1,,quantum,precond_pen=0.400,0.4,True,2,0.20082,13.92370993,13.92370993
5,1,,quantum,precond_pen=0.400,0.4,True,3,0.203291,13.91075566,13.91075566
5,1,,quantum,precond_pen=0.500,0.5,True,0,0.023536,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.500,0.5,True,1,0.17915,14.80715403,14.80715403
5,1,,quantum,precond_pen=0.500,0.5,True,2,0.181822,13.92370993,13.92370993
5,1,,quantum,precond_pen=0.500,0.5,True,3,0.184161,13.91075566,13.91075566
5,1,,quantum,precond_pen=0.600,0.6,True,0,0.021851,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.600,0.6,True,1,0.136657,14.39760561,14.39760561
5,1,,quantum,precond_pen=0.600,0.6,True,2,0.138869,13.92370993,13.92370993
5,1,,quantum,precond_pen=0.600,0.6,True,3,0.143698,13.91075566,13.91075566
5,1,,quantum,precond_pen=0.700,0.7,True,0,0.022757,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.700,0.7,True,1,0.156918,14.80715403,14.80715403
5,1,,quantum,precond_pen=0.700,0.7,True,2,0.158939,13.92370993,13.92370993
5,1,,quantum,precond_pen=0.700,0.7,True,3,0.166072,13.91075566,13.91075566
5,1,,quantum,precond_pen=0.800,0.8,True,0,0.016639,15.28890653,15.28890653
5,1,,quantum,precond_pen=0.800,0.8,True,1,0.183915,13.92370993,13.92370993
5,1,,quantum,precond_pen=0.800,0.8,True,2,0.18891,13.91075566,13.91075566
6,1,,quantum,baseline,,True,0,0.016493,15.20531646,15.20531646
6,1,,quantum,baseline,,True,1,0.155757,14.0789663,14.0789663
6,1,,quantum,baseline,,True,2,0.159637,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.000,0.0,True,0,0.030736,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.000,0.0,True,1,0.182429,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.200,0.2,True,0,0.019375,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.200,0.2,True,1,0.173158,14.0789663,14.0789663
6,1,,quantum,precond_pen=0.200,0.2,True,2,0.17533,12.90567137,12.90567137
6,1,,quantum,precond_pen=0.200,0.2,True,3,0.177275,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.300,0.3,True,0,0.016765,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.300,0.3,True,1,0.203011,13.47044465,13.47044465
6,1,,quantum,precond_pen=0.300,0.3,True,2,0.205829,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.400,0.4,True,0,0.023856,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.400,0.4,True,1,0.166894,14.38892687,14.38892687
6,1,,quantum,precond_pen=0.400,0.4,True,2,0.169787,14.0789663,14.0789663
6,1,,quantum,precond_pen=0.400,0.4,True,3,0.173157,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.500,0.5,True,0,0.012032,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.500,0.5,True,1,0.171323,14.0789663,14.0789663
6,1,,quantum,precond_pen=0.500,0.5,True,2,0.173373,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.600,0.6,True,0,0.022835,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.600,0.6,True,1,0.172391,14.38892687,14.38892687
6,1,,quantum,precond_pen=0.600,0.6,True,2,0.175161,14.0789663,14.0789663
6,1,,quantum,precond_pen=0.600,0.6,True,3,0.177702,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.700,0.7,True,0,0.021218,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.700,0.7,True,1,0.158319,12.33521489,12.33521489
6,1,,quantum,precond_pen=0.800,0.8,True,0,0.015119,15.20531646,15.20531646
6,1,,quantum,precond_pen=0.800,0.8,True,1,0.157516,12.33521489,12.33521489
7,1,,quantum,baseline,,True,0,0.021496,15.08264545,15.08264545
7,1,,quantum,baseline,,True,1,0.228341,14.232644,14.232644
7,1,,quantum,baseline,,True,2,0.230995,12.44007606,12.44007606
7,1,,quantum,precond_pen=0.000,0.0,True,0,0.017184,15.08264545,15.08264545
7,1,,quantum,precond_pen=0.000,0.0,True,1,0.149234,14.232644,14.232644
7,1,,quantum,precond_pen=0.000,0.0,True,2,0.151368,12.44007606,12.44007606
7,1,,quantum,precond_pen=0.200,0.2,True,0,0.018036,15.08264545,15.08264545
7,1,,quantum,precond_pen=0.200,0.2,True,1,0.135976,13.48004443,13.48004443
7,1,,quantum,precond_pen=0.200,0.2,True,2,0.136748,12.44007606,12.44007606
7,1,,quantum,precond_pen=0.300,0.3,True,0,0.016416,15.08264545,15.08264545
7,1,,quantum,precond_pen=0.300,0.3,True,1,0.208981,13.48004443,13.48004443
7,1,,quantum,precond_pen=0.300,0.3,True,2,0.211235,12.44007606,12.44007606
7,1,,quantum,precond_pen=0.400,0.4,True,0,0.023741,15.08264545,15.08264545
7,1,,quantum,precond_pen=0.400,0.4,True,1,0.177587,13.48004443,13.48004443
7,1,,quantum,precond_pen=0.400,0.4,True,2,0.180231,12.44007606,12.44007606
7,1,,quantum,precond_pen=0.500,0.5,True,0,0.022812,15.08264545,15.08264545
7,1,,quantum,precond_pen=0.500,0.5,True,1,0.182767,14.82721276,14.82721276
7,1,,quantum,precond_pen=0.500,0.5,True,2,0.18482,14.232644,14.232644
7,1,,quantum,precond_pen=0.500,0.5,True,3,0.186746,13.48004443,13.48004443
7,1,,quantum,precond_pen=0.500,0.5,True,4,0.188363,12.44007606,12.44007606
