name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z
baseline,8,13.458061722447997,13.458061722448,,2,0.1585390567779541,0.0,01111000,-++++---,0
precond_pen=0.000,8,0.44309676287000066,13.664668253633998,0.0,2,0.16518807411193848,0.0,01011100,-+-+++--,0
precond_pen=0.200,8,-1.9470944726099997,13.664668253633998,0.2,2,0.1480100154876709,0.0,10100011,+-+---++,0
precond_pen=0.300,8,-2.979330942693,13.458061722448,0.3,2,0.15080904960632324,0.0,10000111,+----+++,0
precond_pen=0.400,8,-2.579378645349,13.458061722448,0.4,2,0.18363308906555176,0.0,10000111,+----+++,0
precond_pen=0.500,8,-1.8808340177629987,13.458061722448,0.5,2,0.0967249870300293,0.0,01111000,-++++---,0
precond_pen=0.600,8,-1.4681866404910004,13.458061722448,0.6,2,0.12067985534667969,0.0,10000111,+----+++,0
precond_pen=0.700,8,-1.2320346548890004,13.458061722448,0.7,2,0.14318084716796875,0.0,01111000,-++++---,0
precond_pen=0.800,8,-1.0832107392089991,13.458061722448,0.8,2,0.1498088836669922,0.0,01111000,-++++---,0
precond_pen=1.000,8,-0.9077323182150003,13.458061722448,1.0,2,0.13535714149475098,0.0,01111000,-++++---,0
