seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,1,,quantum,baseline,,True,0,0.000224,109.3548078,109.3548078
0,1,,quantum,baseline,,True,1,0.011019,101.73928921,101.73928921
0,1,,quantum,baseline,,True,2,0.011476,100.75620308,100.75620308
0,1,,quantum,baseline,,True,3,0.011812,93.35214931,93.35214931
0,1,,quantum,baseline,,True,4,0.301445,93.14102728,93.14102728
0,1,,quantum,baseline,,True,5,0.426707,92.65812845,92.65812845
0,1,,quantum,baseline,,True,6,0.474759,91.93633401,91.93633401
0,1,,quantum,baseline,,True,7,0.475302,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.100,1.1,True,0,0.000187,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.100,1.1,True,1,0.009014,95.08106389,95.08106389
0,1,,quantum,precond_pen=1.100,1.1,True,2,0.009365,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.200,1.2,True,0,0.000162,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.200,1.2,True,1,0.010371,106.71376559,106.71376559
0,1,,quantum,precond_pen=1.200,1.2,True,2,0.010789,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.300,1.3,True,0,0.00016,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.300,1.3,True,1,0.008621,108.78184445,108.78184445
0,1,,quantum,precond_pen=1.300,1.3,True,2,0.009006,94.7603425,94.7603425
0,1,,quantum,precond_pen=1.300,1.3,True,3,0.307916,91.82434876,91.82434876
0,1,,quantum,precond_pen=1.300,1.3,True,4,0.490667,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.300,1.3,True,5,0.493329,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.400,1.4,True,0,0.000217,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.400,1.4,True,1,0.009727,106.69027126,106.69027126
0,1,,quantum,precond_pen=1.400,1.4,True,2,0.01001,93.85441107,93.85441107
0,1,,quantum,precond_pen=1.400,1.4,True,3,0.029549,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.500,1.5,True,0,0.000174,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.500,1.5,True,1,0.008946,109.25403681,109.25403681
0,1,,quantum,precond_pen=1.500,1.5,True,2,0.00928,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.600,1.6,True,0,0.000143,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.600,1.6,True,1,0.00828,106.69027126,106.69027126
0,1,,quantum,precond_pen=1.600,1.6,True,2,0.00864,93.85441107,93.85441107
0,1,,quantum,precond_pen=1.600,1.6,True,3,0.028101,91.82434876,91.82434876
0,1,,quantum,precond_pen=1.600,1.6,True,4,0.32224,91.05430035,91.05430035
0,1,,quantum,precond_pen=1.700,1.7,True,0,0.000263,109.3548078,109.3548078
0,1,,quantum,precond_pen=1.700,1.7,True,1,0.010238,108.52982179,108.52982179
0,1,,quantum,precond_pen=1.700,1.7,True,2,0.010588,91.82434876,91.82434876
