name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,24,130.1153685081999,130.11536850820013,,2,1.9209229946136475,0.007539987564086914,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,False,"[[0.000138, 151.31257109], [0.006402, 147.53358726], [0.007111, 142.88581991], [0.00754, 130.11536851]]",0,quantum,3,
precond_pen=1.100,24,-12.973391991133987,130.82748979169813,1.1,2,0.2485189437866211,0.005213022232055664,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,False,"[[0.000112, 151.31257109], [0.004658, 145.65603935], [0.005213, 130.82748979]]",0,quantum,3,
precond_pen=1.200,24,-5.397310734966997,130.11536850820013,1.2,2,0.3487110137939453,0.0053539276123046875,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.000107, 151.31257109], [0.004476, 142.76488283], [0.005354, 130.11536851]]",0,quantum,3,
precond_pen=1.400,24,-4.284175391665004,130.11536850820013,1.4,2,0.3944880962371826,0.004979133605957031,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.0001, 151.31257109], [0.004538, 150.34836313], [0.004979, 130.11536851]]",0,quantum,3,
precond_pen=1.600,24,-3.9363760667860035,130.11536850820013,1.6,2,0.41387104988098145,0.005939960479736328,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.000116, 151.31257109], [0.005495, 148.37757284], [0.00594, 130.11536851]]",0,quantum,3,
precond_pen=1.800,24,-7.674885198013,131.29920933990624,1.8,2,0.14485907554626465,0.005129098892211914,0.0,111001111010010101000001,+++--++++-+--+-+-+-----+,0,False,"[[0.000101, 151.31257109], [0.004131, 145.48669034], [0.004624, 142.88581991], [0.005129, 131.29920934]]",0,quantum,3,
precond_pen=2.000,24,-13.223981161368005,130.82748979169813,2.0,2,0.1632847785949707,0.004954814910888672,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,False,"[[0.000106, 151.31257109], [0.004478, 148.71260523], [0.004955, 130.82748979]]",0,quantum,3,
baseline,24,121.02014177323395,121.0201417732341,,2,2.066865921020508,0.004225015640258789,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,False,"[[0.000115, 151.85993202], [0.0039, 148.32766763], [0.004225, 121.02014177]]",1,quantum,3,
precond_pen=1.100,24,-8.533290141865999,121.03008842867203,1.1,2,0.1629939079284668,0.005630016326904297,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,False,"[[0.000116, 151.85993202], [0.004622, 134.72858265], [0.00563, 121.03008843]]",1,quantum,3,
precond_pen=1.200,24,-3.676712608640001,121.03008842867203,1.2,2,0.42847323417663574,0.0054111480712890625,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,False,"[[0.000106, 151.85993202], [0.004245, 137.07541437], [0.004753, 135.74296883], [0.005411, 121.03008843]]",1,quantum,3,
precond_pen=1.400,24,-3.708404050351005,121.03008842867203,1.4,2,0.4419429302215576,0.4380209445953369,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,False,"[[0.000113, 151.85993202], [0.005233, 143.78876362], [0.005575, 121.7777424], [0.025587, 121.24790097], [0.438021, 121.03008843], [0.441414, 121.03008843]]",1,quantum,3,
precond_pen=1.600,24,-3.2649638221919943,121.03008842867203,1.6,2,0.5253040790557861,0.005321979522705078,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,False,"[[0.000109, 151.85993202], [0.004388, 142.75446332], [0.004754, 142.74572668], [0.005074, 139.60421924], [0.005322, 121.03008843]]",1,quantum,3,
precond_pen=1.800,24,-7.522895874474004,121.24790097132205,1.8,2,0.18279385566711426,0.0057599544525146484,0.0,000100110010111111110000,---+--++--+-++++++++----,0,False,"[[0.000114, 151.85993202], [0.004546, 139.30047635], [0.005084, 143.11929874], [0.005461, 135.84330144], [0.00576, 121.24790097]]",1,quantum,3,
precond_pen=2.000,24,-11.899029817304005,121.03008842867203,2.0,2,0.14134001731872559,0.005429983139038086,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,False,"[[0.00011, 151.85993202], [0.004713, 132.8918602], [0.00543, 121.03008843]]",1,quantum,3,
baseline,24,119.81107703246303,119.81107703246302,,2,5.484981060028076,0.004609107971191406,0.0,111110010011001000000111,+++++--+--++--+------+++,0,False,"[[9.6e-05, 146.89416462], [0.003404, 146.52662832], [0.003931, 145.34607912], [0.004268, 141.85119029], [0.004609, 119.81107703]]",2,quantum,3,
precond_pen=1.100,24,-5.5977416832500015,120.04510978351907,1.1,2,0.2962770462036133,0.005857944488525391,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,False,"[[0.000111, 146.89416462], [0.004528, 138.16862373], [0.005448, 134.01530542], [0.005858, 120.04510978]]",2,quantum,3,
precond_pen=1.200,24,-5.021773738987008,120.04510978351907,1.2,2,0.30953288078308105,0.005755901336669922,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,False,"[[0.000115, 146.89416462], [0.004664, 131.08996143], [0.005756, 120.04510978]]",2,quantum,3,
precond_pen=1.400,24,-3.6622180718869988,119.81107703246302,1.4,2,0.5487000942230225,0.007081031799316406,0.0,111110010011001000000111,+++++--+--++--+------+++,0,False,"[[0.000122, 146.89416462], [0.005047, 141.04214136], [0.006435, 134.95656283], [0.007081, 119.81107703]]",2,quantum,3,
precond_pen=1.600,24,-3.2545658981429817,119.81107703246302,1.6,2,0.6108658313751221,0.603410005569458,0.0,000001101100110111111000,-----++-++--++-++++++---,0,False,"[[0.000108, 146.89416462], [0.004571, 133.87199399], [0.005199, 131.74527885], [0.005639, 120.8981552], [0.603227, 120.53264178], [0.60341, 119.81107703], [0.61031, 119.81107703]]",2,quantum,3,
precond_pen=1.800,24,-7.0018065209840055,120.04510978351907,1.8,2,0.290302038192749,0.006124019622802734,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,False,"[[0.00011, 146.89416462], [0.004795, 137.95397303], [0.006124, 120.04510978]]",2,quantum,3,
precond_pen=2.000,24,-10.817383402670998,120.53264177667508,2.0,2,0.22214698791503906,0.005621910095214844,0.0,000101101100110111011000,---+-++-++--++-+++-++---,0,False,"[[0.000111, 146.89416462], [0.004567, 139.01781133], [0.005622, 120.53264178]]",2,quantum,3,
baseline,24,125.62957739668596,125.62957739668624,,2,2.195152997970581,0.005483150482177734,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,False,"[[0.000112, 146.3517384], [0.003468, 141.44536594], [0.004842, 141.21821994], [0.005483, 125.6295774]]",3,quantum,3,
