name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,24,130.1153685081999,130.11536850820013,,2,0.9266228675842285,0.010078907012939453,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.000148, 151.31257109], [0.008832, 147.53358726], [0.009632, 142.88581991], [0.010079, 130.11536851]]",0,quantum,3,
precond_pen=1.100,24,-12.973391991133987,130.82748979169813,1.1,2,0.3165299892425537,0.0075380802154541016,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.000112, 151.31257109], [0.006949, 145.65603935], [0.007538, 130.82748979], [0.313456, 133.00042328]]",0,quantum,3,
precond_pen=1.200,24,-5.397310734966997,130.11536850820013,1.2,2,0.37654900550842285,0.009200096130371094,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000109, 151.31257109], [0.007788, 142.76488283], [0.0092, 130.11536851]]",0,quantum,3,
precond_pen=1.400,24,-4.284175391665004,130.11536850820013,1.4,2,0.510246992111206,0.00760197639465332,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000113, 151.31257109], [0.007137, 150.34836313], [0.007602, 130.11536851]]",0,quantum,3,
precond_pen=1.600,24,-3.9363760667860035,130.11536850820013,1.6,2,0.362764835357666,0.009438037872314453,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000115, 151.31257109], [0.008889, 148.37757284], [0.009438, 130.11536851]]",0,quantum,3,
precond_pen=1.800,24,-7.674885198013,131.29920933990624,1.8,2,0.19799494743347168,0.008898019790649414,0.0,111001111010010101000001,+++--++++-+--+-+-+-----+,0,True,"[[0.000114, 151.31257109], [0.007373, 145.48669034], [0.008203, 142.88581991], [0.008898, 131.29920934]]",0,quantum,3,
precond_pen=2.000,24,-13.223981161368005,130.82748979169813,2.0,2,0.23639798164367676,0.00816202163696289,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.000112, 151.31257109], [0.007605, 148.71260523], [0.008162, 130.82748979]]",0,quantum,3,
baseline,24,121.02014177323395,121.0201417732341,,2,0.9423558712005615,0.0069658756256103516,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,True,"[[0.000109, 151.85993202], [0.006593, 148.32766763], [0.006966, 121.02014177]]",1,quantum,3,
precond_pen=1.100,24,-8.533290141865992,121.03008842867203,1.1,2,0.18309807777404785,0.03926205635070801,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.000114, 151.85993202], [0.007755, 134.72858265], [0.008772, 134.66763267], [0.009592, 121.24790097], [0.039262, 121.03008843]]",1,quantum,3,
precond_pen=1.200,24,-3.676712608640001,121.03008842867203,1.2,2,0.4640629291534424,0.00803995132446289,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000116, 151.85993202], [0.006719, 137.07541437], [0.007299, 135.74296883], [0.00804, 121.03008843]]",1,quantum,3,
precond_pen=1.400,24,-3.708404050351005,121.03008842867203,1.4,2,0.39124298095703125,0.38924598693847656,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000109, 151.85993202], [0.007783, 143.78876362], [0.008167, 121.7777424], [0.031771, 121.24790097], [0.389246, 121.02014177], [0.389438, 121.03008843], [0.390451, 121.03008843]]",1,quantum,3,
precond_pen=1.600,24,-3.2649638221919943,121.03008842867203,1.6,2,0.49509096145629883,0.007356882095336914,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000116, 151.85993202], [0.006418, 142.75446332], [0.006802, 142.74572668], [0.007119, 139.60421924], [0.007357, 121.03008843]]",1,quantum,3,
precond_pen=1.800,24,-7.522895874474004,121.24790097132205,1.8,2,0.2349529266357422,0.009582042694091797,0.0,000100110010111111110000,---+--++--+-++++++++----,0,True,"[[0.000115, 151.85993202], [0.007818, 139.30047635], [0.008676, 143.11929874], [0.0092, 135.84330144], [0.009582, 121.24790097]]",1,quantum,3,
precond_pen=2.000,24,-11.899029817304005,121.03008842867203,2.0,2,0.1647350788116455,0.007803201675415039,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.000111, 151.85993202], [0.00712, 132.8918602], [0.007803, 121.03008843], [0.16052, 123.92982455]]",1,quantum,3,
